Oxymax Feeding Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:46 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0107
SUBJECT ID:16-4
SUBJECT MASS:31.8 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 3 ,010701,3/14/2022,3/14/2022 7:06:46 AM ,3/14/2022 7:07:50 AM , 64 ,0.08,0.08,g,
 2 , 7 ,010701,3/14/2022,3/14/2022 7:25:49 AM ,3/14/2022 7:31:41 AM , 352 ,0.04,0.12,g,
 3 , 10 ,010701,3/14/2022,3/14/2022 7:40:01 AM ,3/14/2022 7:45:33 AM , 332 ,0.06,0.18,g,
 4 , 13 ,010701,3/14/2022,3/14/2022 8:04:44 AM ,3/14/2022 8:05:12 AM , 28 ,0.11,0.29,g,
 5 , 19 ,010701,3/14/2022,3/14/2022 8:34:13 AM ,3/14/2022 8:38:04 AM , 231 ,0.19,0.48,g,
 6 , 32 ,010701,3/14/2022,3/14/2022 9:48:06 AM ,3/14/2022 9:53:34 AM , 328 ,0.10,0.58,g,
 7 , 34 ,010701,3/14/2022,3/14/2022 10:01:34 AM ,3/14/2022 10:01:56 AM , 22 ,0.04,0.62,g,
 8 , 37 ,010701,3/14/2022,3/14/2022 10:17:20 AM ,3/14/2022 10:18:43 AM , 83 ,0.05,0.67,g,
 9 , 48 ,010701,3/14/2022,3/14/2022 11:16:04 AM ,3/14/2022 11:20:31 AM , 267 ,0.12,0.78,g,
 10 , 63 ,010701,3/14/2022,3/14/2022 12:42:14 PM ,3/14/2022 12:47:25 PM , 311 ,0.13,0.91,g,
 11 , 64 ,010701,3/14/2022,3/14/2022 12:56:21 PM ,3/14/2022 12:56:35 PM , 14 ,0.05,0.97,g,
 12 , 91 ,010701,3/14/2022,3/14/2022 3:23:47 PM ,3/14/2022 3:28:48 PM , 301 ,0.06,1.03,g,
 13 , 92 ,010701,3/14/2022,3/14/2022 3:29:41 PM ,3/14/2022 3:30:31 PM , 50 ,0.10,1.12,g,
 14 , 105 ,010701,3/14/2022,3/14/2022 4:39:30 PM ,3/14/2022 4:46:12 PM , 402 ,0.09,1.22,g,
 15 , 118 ,010701,3/14/2022,3/14/2022 5:57:57 PM ,3/14/2022 5:58:23 PM , 26 ,0.14,1.36,g,
 16 , 132 ,010701,3/14/2022,3/14/2022 7:15:56 PM ,3/14/2022 7:18:26 PM , 150 ,0.07,1.43,g,
 17 , 133 ,010701,3/14/2022,3/14/2022 7:20:10 PM ,3/14/2022 7:24:01 PM , 231 ,0.06,1.48,g,
 18 , 138 ,010701,3/14/2022,3/14/2022 7:52:11 PM ,3/14/2022 7:53:51 PM , 100 ,0.08,1.57,g,
 19 , 143 ,010701,3/14/2022,3/14/2022 8:18:03 PM ,3/14/2022 8:19:15 PM , 72 ,0.11,1.68,g,
 20 , 147 ,010701,3/14/2022,3/14/2022 8:42:06 PM ,3/14/2022 8:46:38 PM , 272 ,0.11,1.79,g,
 21 , 148 ,010701,3/14/2022,3/14/2022 8:50:44 PM ,3/14/2022 8:51:50 PM , 66 ,0.04,1.83,g,
 22 , 150 ,010701,3/14/2022,3/14/2022 8:57:55 PM ,3/14/2022 8:58:57 PM , 62 ,0.03,1.87,g,
 23 , 152 ,010701,3/14/2022,3/14/2022 9:10:10 PM ,3/14/2022 9:11:51 PM , 101 ,0.28,2.15,g,
 24 , 168 ,010701,3/14/2022,3/14/2022 10:42:55 PM ,3/14/2022 10:43:02 PM , 7 ,0.03,2.18,g,
 25 , 193 ,010701,3/15/2022,3/15/2022 1:00:04 AM ,3/15/2022 1:04:21 AM , 257 ,0.17,2.35,g,
 26 , 205 ,010701,3/15/2022,3/15/2022 2:09:52 AM ,3/15/2022 2:15:02 AM , 310 ,0.12,2.47,g,
 27 , 211 ,010701,3/15/2022,3/15/2022 2:49:02 AM ,3/15/2022 2:49:32 AM , 30 ,0.13,2.60,g,
 28 , 227 ,010701,3/15/2022,3/15/2022 4:19:11 AM ,3/15/2022 4:19:27 AM , 16 ,0.07,2.66,g,
 29 , 229 ,010701,3/15/2022,3/15/2022 4:27:37 AM ,3/15/2022 4:29:24 AM , 107 ,0.41,3.07,g,
