===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 9 ,3/14/2022 7:40:19 AM , 26 ,3/14/2022 7:40:39 AM , 6 ,3/14/2022 7:40:59 AM , 146 ,3/14/2022 7:41:19 AM , 115 ,3/14/2022 7:41:39 AM , 154 ,3/14/2022 7:41:59 AM , 132 ,3/14/2022 7:42:19 AM , 163 ,3/14/2022 7:42:39 AM , 544 ,3/14/2022 7:42:59 AM , 1036 ,3/14/2022 7:43:19 AM , 141 ,3/14/2022 7:43:39 AM , 1121 ,3/14/2022 7:43:59 AM , 539 ,3/14/2022 7:44:19 AM , 147 ,3/14/2022 7:44:39 AM , 317 ,3/14/2022 7:44:59 AM , 567 ,3/14/2022 7:45:19 AM , 855 ,
 10 ,3/14/2022 7:45:59 AM , 153 ,3/14/2022 7:46:19 AM , 140 ,3/14/2022 7:46:39 AM , 184 ,3/14/2022 7:46:59 AM , 19 ,3/14/2022 7:47:19 AM , 129 ,3/14/2022 7:47:39 AM , 68 ,3/14/2022 7:47:59 AM , 146 ,3/14/2022 7:48:19 AM , 775 ,3/14/2022 7:48:39 AM , 1778 ,3/14/2022 7:48:59 AM , 142 ,3/14/2022 7:49:19 AM , 544 ,3/14/2022 7:49:39 AM , 276 ,3/14/2022 7:49:59 AM , 11 ,3/14/2022 7:50:19 AM , 1122 ,3/14/2022 7:50:39 AM , 907 ,3/14/2022 7:50:59 AM , 1069 ,
 11 ,3/14/2022 7:51:39 AM , 151 ,3/14/2022 7:51:59 AM , 1 ,3/14/2022 7:52:19 AM , 216 ,3/14/2022 7:52:39 AM , 112 ,3/14/2022 7:52:59 AM , 41 ,3/14/2022 7:53:19 AM , 7 ,3/14/2022 7:53:39 AM , 56 ,3/14/2022 7:53:59 AM , 476 ,3/14/2022 7:54:19 AM , 482 ,3/14/2022 7:54:39 AM , 0 ,3/14/2022 7:54:59 AM , 414 ,3/14/2022 7:55:19 AM , 18 ,3/14/2022 7:55:39 AM , 23 ,3/14/2022 7:55:59 AM , 940 ,3/14/2022 7:56:19 AM , 529 ,3/14/2022 7:56:39 AM , 1122 ,
 12 ,3/14/2022 7:57:19 AM , 61 ,3/14/2022 7:57:39 AM , 16 ,3/14/2022 7:57:59 AM , 40 ,3/14/2022 7:58:19 AM , 115 ,3/14/2022 7:58:39 AM , 62 ,3/14/2022 7:58:59 AM , 10 ,3/14/2022 7:59:19 AM , 197 ,3/14/2022 7:59:39 AM , 515 ,3/14/2022 7:59:59 AM , 1855 ,3/14/2022 8:00:19 AM , 17 ,3/14/2022 8:00:39 AM , 406 ,3/14/2022 8:00:59 AM , 64 ,3/14/2022 8:01:19 AM , 4 ,3/14/2022 8:01:39 AM , 275 ,3/14/2022 8:01:59 AM , 325 ,3/14/2022 8:02:19 AM , 768 ,
 13 ,3/14/2022 8:02:59 AM , 46 ,3/14/2022 8:03:19 AM , 38 ,3/14/2022 8:03:39 AM , 82 ,3/14/2022 8:03:59 AM , 9 ,3/14/2022 8:04:19 AM , 94 ,3/14/2022 8:04:39 AM , 4 ,3/14/2022 8:04:59 AM , 408 ,3/14/2022 8:05:19 AM , 534 ,3/14/2022 8:05:39 AM , 1589 ,3/14/2022 8:05:59 AM , 69 ,3/14/2022 8:06:19 AM , 929 ,3/14/2022 8:06:39 AM , 53 ,3/14/2022 8:06:59 AM , 53 ,3/14/2022 8:07:19 AM , 512 ,3/14/2022 8:07:39 AM , 257 ,3/14/2022 8:07:59 AM , 1229 ,
 14 ,3/14/2022 8:08:39 AM , 286 ,3/14/2022 8:08:59 AM , 2 ,3/14/2022 8:09:19 AM , 1 ,3/14/2022 8:09:39 AM , 41 ,3/14/2022 8:09:59 AM , 74 ,3/14/2022 8:10:19 AM , 93 ,3/14/2022 8:10:39 AM , 42 ,3/14/2022 8:10:59 AM , 540 ,3/14/2022 8:11:19 AM , 1369 ,3/14/2022 8:11:39 AM , 12 ,3/14/2022 8:11:59 AM , 371 ,3/14/2022 8:12:19 AM , 23 ,3/14/2022 8:12:39 AM , 41 ,3/14/2022 8:12:59 AM , 429 ,3/14/2022 8:13:19 AM , 51 ,3/14/2022 8:13:39 AM , 4425 ,
 15 ,3/14/2022 8:14:19 AM , 159 ,3/14/2022 8:14:39 AM , 65 ,3/14/2022 8:14:59 AM , 0 ,3/14/2022 8:15:19 AM , 30 ,3/14/2022 8:15:39 AM , 81 ,3/14/2022 8:15:59 AM , 282 ,3/14/2022 8:16:19 AM , 11 ,3/14/2022 8:16:39 AM , 614 ,3/14/2022 8:16:59 AM , 2344 ,3/14/2022 8:17:19 AM , 79 ,3/14/2022 8:17:39 AM , 192 ,3/14/2022 8:17:59 AM , 199 ,3/14/2022 8:18:19 AM , 30 ,3/14/2022 8:18:39 AM , 959 ,3/14/2022 8:18:59 AM , 150 ,3/14/2022 8:19:19 AM , 1365 ,
 16 ,3/14/2022 8:19:59 AM , 156 ,3/14/2022 8:20:19 AM , 48 ,3/14/2022 8:20:39 AM , 0 ,3/14/2022 8:20:59 AM , 29 ,3/14/2022 8:21:19 AM , 2 ,3/14/2022 8:21:39 AM , 205 ,3/14/2022 8:21:59 AM , 136 ,3/14/2022 8:22:19 AM , 853 ,3/14/2022 8:22:39 AM , 423 ,3/14/2022 8:22:59 AM , 38 ,3/14/2022 8:23:19 AM , 1143 ,3/14/2022 8:23:39 AM , 574 ,3/14/2022 8:23:59 AM , 193 ,3/14/2022 8:24:19 AM , 29 ,3/14/2022 8:24:39 AM , 0 ,3/14/2022 8:24:59 AM , 822 ,
 17 ,3/14/2022 8:25:39 AM , 92 ,3/14/2022 8:25:59 AM , 143 ,3/14/2022 8:26:19 AM , 14 ,3/14/2022 8:26:39 AM , 2 ,3/14/2022 8:26:59 AM , 17 ,3/14/2022 8:27:19 AM , 379 ,3/14/2022 8:27:39 AM , 0 ,3/14/2022 8:27:59 AM , 366 ,3/14/2022 8:28:19 AM , 916 ,3/14/2022 8:28:39 AM , 119 ,3/14/2022 8:28:59 AM , 1995 ,3/14/2022 8:29:19 AM , 568 ,3/14/2022 8:29:39 AM , 629 ,3/14/2022 8:29:59 AM , 56 ,3/14/2022 8:30:19 AM , 4 ,3/14/2022 8:30:39 AM , 755 ,
 18 ,3/14/2022 8:31:19 AM , 149 ,3/14/2022 8:31:39 AM , 376 ,3/14/2022 8:31:59 AM , 2 ,3/14/2022 8:32:19 AM , 6 ,3/14/2022 8:32:39 AM , 0 ,3/14/2022 8:32:59 AM , 185 ,3/14/2022 8:33:19 AM , 4 ,3/14/2022 8:33:39 AM , 910 ,3/14/2022 8:33:59 AM , 2326 ,3/14/2022 8:34:19 AM , 3 ,3/14/2022 8:34:39 AM , 258 ,3/14/2022 8:34:59 AM , 428 ,3/14/2022 8:35:19 AM , 936 ,3/14/2022 8:35:39 AM , 3 ,3/14/2022 8:35:59 AM , 1 ,3/14/2022 8:36:19 AM , 974 ,
 19 ,3/14/2022 8:36:59 AM , 6 ,3/14/2022 8:37:19 AM , 793 ,3/14/2022 8:37:39 AM , 0 ,3/14/2022 8:37:59 AM , 6 ,3/14/2022 8:38:19 AM , 0 ,3/14/2022 8:38:39 AM , 390 ,3/14/2022 8:38:59 AM , 118 ,3/14/2022 8:39:19 AM , 491 ,3/14/2022 8:39:39 AM , 1194 ,3/14/2022 8:39:59 AM , 37 ,3/14/2022 8:40:19 AM , 161 ,3/14/2022 8:40:39 AM , 125 ,3/14/2022 8:40:59 AM , 543 ,3/14/2022 8:41:19 AM , 11 ,3/14/2022 8:41:39 AM , 0 ,3/14/2022 8:41:59 AM , 813 ,
 20 ,3/14/2022 8:42:39 AM , 8 ,3/14/2022 8:42:59 AM , 549 ,3/14/2022 8:43:19 AM , 22 ,3/14/2022 8:43:39 AM , 177 ,3/14/2022 8:43:59 AM , 0 ,3/14/2022 8:44:19 AM , 348 ,3/14/2022 8:44:39 AM , 113 ,3/14/2022 8:44:59 AM , 619 ,3/14/2022 8:45:19 AM , 2232 ,3/14/2022 8:45:39 AM , 198 ,3/14/2022 8:45:59 AM , 21 ,3/14/2022 8:46:19 AM , 4 ,3/14/2022 8:46:39 AM , 399 ,3/14/2022 8:46:59 AM , 9 ,3/14/2022 8:47:19 AM , 66 ,3/14/2022 8:47:39 AM , 316 ,
 21 ,3/14/2022 8:48:19 AM , 22 ,3/14/2022 8:48:39 AM , 597 ,3/14/2022 8:48:59 AM , 0 ,3/14/2022 8:49:19 AM , 151 ,3/14/2022 8:49:39 AM , 0 ,3/14/2022 8:49:59 AM , 689 ,3/14/2022 8:50:19 AM , 149 ,3/14/2022 8:50:39 AM , 607 ,3/14/2022 8:50:59 AM , 1569 ,3/14/2022 8:51:19 AM , 261 ,3/14/2022 8:51:39 AM , 1 ,3/14/2022 8:51:59 AM , 0 ,3/14/2022 8:52:19 AM , 680 ,3/14/2022 8:52:39 AM , 29 ,3/14/2022 8:52:59 AM , 274 ,3/14/2022 8:53:19 AM , 311 ,
 22 ,3/14/2022 8:53:59 AM , 18 ,3/14/2022 8:54:19 AM , 362 ,3/14/2022 8:54:39 AM , 3 ,3/14/2022 8:54:59 AM , 22 ,3/14/2022 8:55:19 AM , 188 ,3/14/2022 8:55:39 AM , 239 ,3/14/2022 8:55:59 AM , 14 ,3/14/2022 8:56:19 AM , 864 ,3/14/2022 8:56:39 AM , 1755 ,3/14/2022 8:56:59 AM , 27 ,3/14/2022 8:57:19 AM , 36 ,3/14/2022 8:57:39 AM , 773 ,3/14/2022 8:57:59 AM , 926 ,3/14/2022 8:58:19 AM , 578 ,3/14/2022 8:58:39 AM , 3 ,3/14/2022 8:58:59 AM , 78 ,
 23 ,3/14/2022 8:59:39 AM , 441 ,3/14/2022 8:59:59 AM , 564 ,3/14/2022 9:00:19 AM , 0 ,3/14/2022 9:00:39 AM , 58 ,3/14/2022 9:00:59 AM , 300 ,3/14/2022 9:01:19 AM , 219 ,3/14/2022 9:01:39 AM , 0 ,3/14/2022 9:01:59 AM , 401 ,3/14/2022 9:02:19 AM , 1499 ,3/14/2022 9:02:39 AM , 312 ,3/14/2022 9:02:59 AM , 114 ,3/14/2022 9:03:19 AM , 67 ,3/14/2022 9:03:39 AM , 1291 ,3/14/2022 9:03:59 AM , 213 ,3/14/2022 9:04:19 AM , 0 ,3/14/2022 9:04:39 AM , 6 ,
 24 ,3/14/2022 9:05:19 AM , 6 ,3/14/2022 9:05:39 AM , 567 ,3/14/2022 9:05:59 AM , 278 ,3/14/2022 9:06:19 AM , 98 ,3/14/2022 9:06:39 AM , 181 ,3/14/2022 9:06:59 AM , 4 ,3/14/2022 9:07:19 AM , 1 ,3/14/2022 9:07:39 AM , 668 ,3/14/2022 9:07:59 AM , 660 ,3/14/2022 9:08:19 AM , 133 ,3/14/2022 9:08:39 AM , 19 ,3/14/2022 9:08:59 AM , 66 ,3/14/2022 9:09:19 AM , 535 ,3/14/2022 9:09:39 AM , 0 ,3/14/2022 9:09:59 AM , 13 ,3/14/2022 9:10:19 AM , 420 ,
 25 ,3/14/2022 9:10:59 AM , 145 ,3/14/2022 9:11:19 AM , 246 ,3/14/2022 9:11:39 AM , 273 ,3/14/2022 9:11:59 AM , 11 ,3/14/2022 9:12:19 AM , 93 ,3/14/2022 9:12:39 AM , 24 ,3/14/2022 9:12:59 AM , 80 ,3/14/2022 9:13:19 AM , 421 ,3/14/2022 9:13:39 AM , 330 ,3/14/2022 9:13:59 AM , 146 ,3/14/2022 9:14:19 AM , 12 ,3/14/2022 9:14:39 AM , 16 ,3/14/2022 9:14:59 AM , 1313 ,3/14/2022 9:15:19 AM , 0 ,3/14/2022 9:15:39 AM , 11 ,3/14/2022 9:15:59 AM , 4 ,
 26 ,3/14/2022 9:16:39 AM , 325 ,3/14/2022 9:16:59 AM , 110 ,3/14/2022 9:17:19 AM , 117 ,3/14/2022 9:17:39 AM , 61 ,3/14/2022 9:17:59 AM , 64 ,3/14/2022 9:18:19 AM , 22 ,3/14/2022 9:18:39 AM , 47 ,3/14/2022 9:18:59 AM , 520 ,3/14/2022 9:19:19 AM , 451 ,3/14/2022 9:19:39 AM , 22 ,3/14/2022 9:19:59 AM , 23 ,3/14/2022 9:20:19 AM , 34 ,3/14/2022 9:20:39 AM , 1395 ,3/14/2022 9:20:59 AM , 0 ,3/14/2022 9:21:19 AM , 0 ,3/14/2022 9:21:39 AM , 508 ,
 27 ,3/14/2022 9:22:19 AM , 56 ,3/14/2022 9:22:39 AM , 4 ,3/14/2022 9:22:59 AM , 50 ,3/14/2022 9:23:19 AM , 167 ,3/14/2022 9:23:39 AM , 62 ,3/14/2022 9:23:59 AM , 4 ,3/14/2022 9:24:19 AM , 0 ,3/14/2022 9:24:39 AM , 767 ,3/14/2022 9:24:59 AM , 243 ,3/14/2022 9:25:19 AM , 47 ,3/14/2022 9:25:39 AM , 0 ,3/14/2022 9:25:59 AM , 51 ,3/14/2022 9:26:19 AM , 1804 ,3/14/2022 9:26:39 AM , 7 ,3/14/2022 9:26:59 AM , 189 ,3/14/2022 9:27:19 AM , 739 ,
 28 ,3/14/2022 9:27:59 AM , 0 ,3/14/2022 9:28:19 AM , 5 ,3/14/2022 9:28:39 AM , 3 ,3/14/2022 9:28:59 AM , 177 ,3/14/2022 9:29:19 AM , 24 ,3/14/2022 9:29:39 AM , 2 ,3/14/2022 9:29:59 AM , 4 ,3/14/2022 9:30:19 AM , 445 ,3/14/2022 9:30:39 AM , 60 ,3/14/2022 9:30:59 AM , 328 ,3/14/2022 9:31:19 AM , 8 ,3/14/2022 9:31:39 AM , 300 ,3/14/2022 9:31:59 AM , 907 ,3/14/2022 9:32:19 AM , 0 ,3/14/2022 9:32:39 AM , 449 ,3/14/2022 9:32:59 AM , 38 ,
 29 ,3/14/2022 9:33:39 AM , 4 ,3/14/2022 9:33:59 AM , 38 ,3/14/2022 9:34:19 AM , 3 ,3/14/2022 9:34:39 AM , 195 ,3/14/2022 9:34:59 AM , 35 ,3/14/2022 9:35:19 AM , 4 ,3/14/2022 9:35:39 AM , 1 ,3/14/2022 9:35:59 AM , 693 ,3/14/2022 9:36:19 AM , 144 ,3/14/2022 9:36:39 AM , 47 ,3/14/2022 9:36:59 AM , 10 ,3/14/2022 9:37:19 AM , 7 ,3/14/2022 9:37:39 AM , 538 ,3/14/2022 9:37:59 AM , 3 ,3/14/2022 9:38:19 AM , 382 ,3/14/2022 9:38:39 AM , 22 ,
 30 ,3/14/2022 9:39:19 AM , 2 ,3/14/2022 9:39:39 AM , 20 ,3/14/2022 9:39:59 AM , 9 ,3/14/2022 9:40:19 AM , 52 ,3/14/2022 9:40:39 AM , 0 ,3/14/2022 9:40:59 AM , 0 ,3/14/2022 9:41:19 AM , 579 ,3/14/2022 9:41:39 AM , 348 ,3/14/2022 9:41:59 AM , 186 ,3/14/2022 9:42:19 AM , 48 ,3/14/2022 9:42:39 AM , 2 ,3/14/2022 9:42:59 AM , 7 ,3/14/2022 9:43:19 AM , 397 ,3/14/2022 9:43:39 AM , 0 ,3/14/2022 9:43:59 AM , 355 ,3/14/2022 9:44:19 AM , 0 ,
 31 ,3/14/2022 9:44:59 AM , 0 ,3/14/2022 9:45:19 AM , 11 ,3/14/2022 9:45:39 AM , 0 ,3/14/2022 9:45:59 AM , 0 ,3/14/2022 9:46:19 AM , 18 ,3/14/2022 9:46:39 AM , 0 ,3/14/2022 9:46:59 AM , 170 ,3/14/2022 9:47:19 AM , 39 ,3/14/2022 9:47:39 AM , 33 ,3/14/2022 9:47:59 AM , 19 ,3/14/2022 9:48:19 AM , 20 ,3/14/2022 9:48:39 AM , 7 ,3/14/2022 9:48:59 AM , 823 ,3/14/2022 9:49:19 AM , 8 ,3/14/2022 9:49:39 AM , 6 ,3/14/2022 9:49:59 AM , 29 ,
