Oxymax Feeding Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:50 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0113
SUBJECT ID:F16-3
SUBJECT MASS:23.8 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 17 ,011301,3/14/2022,3/14/2022 8:28:14 AM ,3/14/2022 8:28:26 AM , 12 ,0.08,0.08,g,
 2 , 18 ,011301,3/14/2022,3/14/2022 8:33:21 AM ,3/14/2022 8:35:23 AM , 122 ,0.05,0.13,g,
 3 , 19 ,011301,3/14/2022,3/14/2022 8:35:53 AM ,3/14/2022 8:37:00 AM , 67 ,0.06,0.19,g,
 4 , 19 ,011301,3/14/2022,3/14/2022 8:39:24 AM ,3/14/2022 8:41:39 AM , 135 ,0.05,0.24,g,
 5 , 22 ,011301,3/14/2022,3/14/2022 8:53:12 AM ,3/14/2022 8:56:37 AM , 205 ,0.17,0.41,g,
 6 , 23 ,011301,3/14/2022,3/14/2022 9:01:12 AM ,3/14/2022 9:01:20 AM , 8 ,0.13,0.54,g,
 7 , 26 ,011301,3/14/2022,3/14/2022 9:19:11 AM ,3/14/2022 9:20:11 AM , 60 ,0.03,0.58,g,
 8 , 59 ,011301,3/14/2022,3/14/2022 12:24:17 PM ,3/14/2022 12:24:29 PM , 12 ,0.35,0.92,g,
 9 , 72 ,011301,3/14/2022,3/14/2022 1:39:00 PM ,3/14/2022 1:39:05 PM , 5 ,0.05,0.97,g,
 10 , 79 ,011301,3/14/2022,3/14/2022 2:18:04 PM ,3/14/2022 2:18:30 PM , 26 ,0.09,1.07,g,
 11 , 131 ,011301,3/14/2022,3/14/2022 7:10:52 PM ,3/14/2022 7:13:49 PM , 177 ,0.04,1.11,g,
 12 , 131 ,011301,3/14/2022,3/14/2022 7:14:23 PM ,3/14/2022 7:15:48 PM , 85 ,0.05,1.16,g,
 13 , 146 ,011301,3/14/2022,3/14/2022 8:32:25 PM ,3/14/2022 8:38:54 PM , 389 ,0.06,1.22,g,
 14 , 147 ,011301,3/14/2022,3/14/2022 8:40:27 PM ,3/14/2022 8:46:34 PM , 367 ,0.13,1.34,g,
 15 , 148 ,011301,3/14/2022,3/14/2022 8:52:06 PM ,3/14/2022 8:52:10 PM , 4 ,0.06,1.40,g,
 16 , 161 ,011301,3/14/2022,3/14/2022 10:03:09 PM ,3/14/2022 10:05:45 PM , 156 ,0.12,1.52,g,
 17 , 177 ,011301,3/14/2022,3/14/2022 11:32:41 PM ,3/14/2022 11:36:54 PM , 253 ,0.04,1.56,g,
 18 , 182 ,011301,3/15/2022,3/15/2022 ,3/15/2022 12:01:22 AM , 82 ,0.05,1.61,g,
 19 , 184 ,011301,3/15/2022,3/15/2022 12:04:03 AM ,3/15/2022 12:12:04 AM , 481 ,0.06,1.67,g,
 20 , 189 ,011301,3/15/2022,3/15/2022 12:43:20 AM ,3/15/2022 12:44:51 AM , 91 ,0.10,1.76,g,
 21 , 192 ,011301,3/15/2022,3/15/2022 12:56:57 AM ,3/15/2022 12:57:07 AM , 10 ,0.05,1.81,g,
 22 , 192 ,011301,3/15/2022,3/15/2022 12:58:12 AM ,3/15/2022 12:58:44 AM , 32 ,0.07,1.88,g,
 23 , 192 ,011301,3/15/2022,3/15/2022 1:00:12 AM ,3/15/2022 1:01:25 AM , 73 ,0.05,1.93,g,
 24 , 193 ,011301,3/15/2022,3/15/2022 1:02:35 AM ,3/15/2022 1:02:53 AM , 18 ,0.04,1.97,g,
 25 , 194 ,011301,3/15/2022,3/15/2022 1:07:51 AM ,3/15/2022 1:09:17 AM , 86 ,0.04,2.01,g,
 26 , 211 ,011301,3/15/2022,3/15/2022 2:43:53 AM ,3/15/2022 2:44:11 AM , 18 ,0.43,2.44,g,
