===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 19 ,3/14/2022 8:36:59 AM , 0 ,3/14/2022 8:37:19 AM , 46 ,3/14/2022 8:37:39 AM , 0 ,3/14/2022 8:37:59 AM , 14 ,3/14/2022 8:38:19 AM , 0 ,3/14/2022 8:38:39 AM , 294 ,3/14/2022 8:38:59 AM , 160 ,3/14/2022 8:39:19 AM , 289 ,3/14/2022 8:39:39 AM , 958 ,3/14/2022 8:39:59 AM , 82 ,3/14/2022 8:40:19 AM , 271 ,3/14/2022 8:40:39 AM , 0 ,3/14/2022 8:40:59 AM , 308 ,3/14/2022 8:41:19 AM , 0 ,3/14/2022 8:41:39 AM , 0 ,3/14/2022 8:41:59 AM , 341 ,
 20 ,3/14/2022 8:42:39 AM , 0 ,3/14/2022 8:42:59 AM , 260 ,3/14/2022 8:43:19 AM , 0 ,3/14/2022 8:43:39 AM , 159 ,3/14/2022 8:43:59 AM , 0 ,3/14/2022 8:44:19 AM , 222 ,3/14/2022 8:44:39 AM , 104 ,3/14/2022 8:44:59 AM , 362 ,3/14/2022 8:45:19 AM , 1479 ,3/14/2022 8:45:39 AM , 135 ,3/14/2022 8:45:59 AM , 36 ,3/14/2022 8:46:19 AM , 0 ,3/14/2022 8:46:39 AM , 305 ,3/14/2022 8:46:59 AM , 0 ,3/14/2022 8:47:19 AM , 0 ,3/14/2022 8:47:39 AM , 350 ,
 21 ,3/14/2022 8:48:19 AM , 0 ,3/14/2022 8:48:39 AM , 321 ,3/14/2022 8:48:59 AM , 0 ,3/14/2022 8:49:19 AM , 722 ,3/14/2022 8:49:39 AM , 0 ,3/14/2022 8:49:59 AM , 298 ,3/14/2022 8:50:19 AM , 116 ,3/14/2022 8:50:39 AM , 276 ,3/14/2022 8:50:59 AM , 931 ,3/14/2022 8:51:19 AM , 8 ,3/14/2022 8:51:39 AM , 0 ,3/14/2022 8:51:59 AM , 0 ,3/14/2022 8:52:19 AM , 362 ,3/14/2022 8:52:39 AM , 0 ,3/14/2022 8:52:59 AM , 1 ,3/14/2022 8:53:19 AM , 158 ,
 22 ,3/14/2022 8:53:59 AM , 0 ,3/14/2022 8:54:19 AM , 258 ,3/14/2022 8:54:39 AM , 0 ,3/14/2022 8:54:59 AM , 889 ,3/14/2022 8:55:19 AM , 560 ,3/14/2022 8:55:39 AM , 30 ,3/14/2022 8:55:59 AM , 81 ,3/14/2022 8:56:19 AM , 473 ,3/14/2022 8:56:39 AM , 1013 ,3/14/2022 8:56:59 AM , 5 ,3/14/2022 8:57:19 AM , 2 ,3/14/2022 8:57:39 AM , 7 ,3/14/2022 8:57:59 AM , 0 ,3/14/2022 8:58:19 AM , 110 ,3/14/2022 8:58:39 AM , 4 ,3/14/2022 8:58:59 AM , 8 ,
 23 ,3/14/2022 8:59:39 AM , 0 ,3/14/2022 8:59:59 AM , 222 ,3/14/2022 9:00:19 AM , 0 ,3/14/2022 9:00:39 AM , 4 ,3/14/2022 9:00:59 AM , 416 ,3/14/2022 9:01:19 AM , 70 ,3/14/2022 9:01:39 AM , 20 ,3/14/2022 9:01:59 AM , 179 ,3/14/2022 9:02:19 AM , 944 ,3/14/2022 9:02:39 AM , 5 ,3/14/2022 9:02:59 AM , 6 ,3/14/2022 9:03:19 AM , 2 ,3/14/2022 9:03:39 AM , 278 ,3/14/2022 9:03:59 AM , 148 ,3/14/2022 9:04:19 AM , 0 ,3/14/2022 9:04:39 AM , 3 ,
 24 ,3/14/2022 9:05:19 AM , 0 ,3/14/2022 9:05:39 AM , 309 ,3/14/2022 9:05:59 AM , 200 ,3/14/2022 9:06:19 AM , 31 ,3/14/2022 9:06:39 AM , 104 ,3/14/2022 9:06:59 AM , 0 ,3/14/2022 9:07:19 AM , 678 ,3/14/2022 9:07:39 AM , 423 ,3/14/2022 9:07:59 AM , 329 ,3/14/2022 9:08:19 AM , 0 ,3/14/2022 9:08:39 AM , 4 ,3/14/2022 9:08:59 AM , 3 ,3/14/2022 9:09:19 AM , 256 ,3/14/2022 9:09:39 AM , 47 ,3/14/2022 9:09:59 AM , 1374 ,3/14/2022 9:10:19 AM , 130 ,
 25 ,3/14/2022 9:10:59 AM , 87 ,3/14/2022 9:11:19 AM , 163 ,3/14/2022 9:11:39 AM , 188 ,3/14/2022 9:11:59 AM , 0 ,3/14/2022 9:12:19 AM , 41 ,3/14/2022 9:12:39 AM , 23 ,3/14/2022 9:12:59 AM , 2 ,3/14/2022 9:13:19 AM , 235 ,3/14/2022 9:13:39 AM , 252 ,3/14/2022 9:13:59 AM , 59 ,3/14/2022 9:14:19 AM , 8 ,3/14/2022 9:14:39 AM , 2445 ,3/14/2022 9:14:59 AM , 553 ,3/14/2022 9:15:19 AM , 1 ,3/14/2022 9:15:39 AM , 234 ,3/14/2022 9:15:59 AM , 0 ,
 26 ,3/14/2022 9:16:39 AM , 72 ,3/14/2022 9:16:59 AM , 314 ,3/14/2022 9:17:19 AM , 112 ,3/14/2022 9:17:39 AM , 17 ,3/14/2022 9:17:59 AM , 0 ,3/14/2022 9:18:19 AM , 2 ,3/14/2022 9:18:39 AM , 15 ,3/14/2022 9:18:59 AM , 289 ,3/14/2022 9:19:19 AM , 399 ,3/14/2022 9:19:39 AM , 0 ,3/14/2022 9:19:59 AM , 44 ,3/14/2022 9:20:19 AM , 6 ,3/14/2022 9:20:39 AM , 629 ,3/14/2022 9:20:59 AM , 4 ,3/14/2022 9:21:19 AM , 0 ,3/14/2022 9:21:39 AM , 0 ,
 27 ,3/14/2022 9:22:19 AM , 38 ,3/14/2022 9:22:39 AM , 589 ,3/14/2022 9:22:59 AM , 23 ,3/14/2022 9:23:19 AM , 1 ,3/14/2022 9:23:39 AM , 66 ,3/14/2022 9:23:59 AM , 0 ,3/14/2022 9:24:19 AM , 5 ,3/14/2022 9:24:39 AM , 285 ,3/14/2022 9:24:59 AM , 77 ,3/14/2022 9:25:19 AM , 12 ,3/14/2022 9:25:39 AM , 0 ,3/14/2022 9:25:59 AM , 4 ,3/14/2022 9:26:19 AM , 1161 ,3/14/2022 9:26:39 AM , 2 ,3/14/2022 9:26:59 AM , 5 ,3/14/2022 9:27:19 AM , 0 ,
 28 ,3/14/2022 9:27:59 AM , 0 ,3/14/2022 9:28:19 AM , 0 ,3/14/2022 9:28:39 AM , 0 ,3/14/2022 9:28:59 AM , 310 ,3/14/2022 9:29:19 AM , 0 ,3/14/2022 9:29:39 AM , 3 ,3/14/2022 9:29:59 AM , 1 ,3/14/2022 9:30:19 AM , 176 ,3/14/2022 9:30:39 AM , 1252 ,3/14/2022 9:30:59 AM , 385 ,3/14/2022 9:31:19 AM , 101 ,3/14/2022 9:31:39 AM , 32 ,3/14/2022 9:31:59 AM , 396 ,3/14/2022 9:32:19 AM , 36 ,3/14/2022 9:32:39 AM , 276 ,3/14/2022 9:32:59 AM , 17 ,
