Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:42 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0102
SUBJECT ID:16-1
SUBJECT MASS:29.1 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 20 ,010202,3/14/2022,3/14/2022 8:45:27 AM ,3/14/2022 8:45:33 AM , 6 ,0.04,0.04,g,
 2 , 21 ,010202,3/14/2022,3/14/2022 8:50:22 AM ,3/14/2022 8:51:12 AM , 50 ,0.09,0.13,g,
 3 , 45 ,010202,3/14/2022,3/14/2022 11:06:36 AM ,3/14/2022 11:06:42 AM , 6 ,0.17,0.30,g,
 4 , 48 ,010202,3/14/2022,3/14/2022 11:23:45 AM ,3/14/2022 11:25:21 AM , 96 ,0.30,0.59,g,
 5 , 49 ,010202,3/14/2022,3/14/2022 11:27:28 AM ,3/14/2022 11:28:36 AM , 68 ,0.05,0.65,g,
 6 , 62 ,010202,3/14/2022,3/14/2022 12:41:08 PM ,3/14/2022 12:41:14 PM , 6 ,0.08,0.72,g,
 7 , 63 ,010202,3/14/2022,3/14/2022 12:48:22 PM ,3/14/2022 12:50:07 PM , 105 ,0.08,0.80,g,
 8 , 70 ,010202,3/14/2022,3/14/2022 1:28:50 PM ,3/14/2022 1:28:53 PM , 3 ,0.05,0.85,g,
 9 , 82 ,010202,3/14/2022,3/14/2022 2:36:22 PM ,3/14/2022 2:36:32 PM , 10 ,0.07,0.92,g,
 10 , 94 ,010202,3/14/2022,3/14/2022 3:42:24 PM ,3/14/2022 3:42:31 PM , 7 ,0.05,0.96,g,
 11 , 109 ,010202,3/14/2022,3/14/2022 5:10:49 PM ,3/14/2022 5:11:14 PM , 25 ,0.05,1.01,g,
 12 , 110 ,010202,3/14/2022,3/14/2022 5:13:08 PM ,3/14/2022 5:13:24 PM , 16 ,0.10,1.11,g,
 13 , 113 ,010202,3/14/2022,3/14/2022 5:33:32 PM ,3/14/2022 5:33:38 PM , 6 ,0.19,1.30,g,
 14 , 114 ,010202,3/14/2022,3/14/2022 5:37:20 PM ,3/14/2022 5:37:46 PM , 26 ,0.18,1.48,g,
 15 , 138 ,010202,3/14/2022,3/14/2022 7:50:53 PM ,3/14/2022 7:52:10 PM , 77 ,0.06,1.55,g,
 16 , 147 ,010202,3/14/2022,3/14/2022 8:41:56 PM ,3/14/2022 8:42:06 PM , 10 ,0.13,1.68,g,
 17 , 147 ,010202,3/14/2022,3/14/2022 8:42:45 PM ,3/14/2022 8:42:52 PM , 7 ,0.15,1.82,g,
 18 , 150 ,010202,3/14/2022,3/14/2022 8:57:52 PM ,3/14/2022 8:58:36 PM , 44 ,0.05,1.88,g,
 19 , 150 ,010202,3/14/2022,3/14/2022 8:59:00 PM ,3/14/2022 8:59:20 PM , 20 ,0.21,2.09,g,
 20 , 151 ,010202,3/14/2022,3/14/2022 9:05:54 PM ,3/14/2022 9:06:10 PM , 16 ,0.13,2.22,g,
 21 , 156 ,010202,3/14/2022,3/14/2022 9:35:40 PM ,3/14/2022 9:36:00 PM , 20 ,0.05,2.27,g,
 22 , 157 ,010202,3/14/2022,3/14/2022 9:39:55 PM ,3/14/2022 9:39:59 PM , 4 ,0.04,2.31,g,
 23 , 160 ,010202,3/14/2022,3/14/2022 9:55:35 PM ,3/14/2022 9:55:47 PM , 12 ,0.14,2.46,g,
 24 , 161 ,010202,3/14/2022,3/14/2022 10:02:35 PM ,3/14/2022 10:03:07 PM , 32 ,0.14,2.59,g,
 25 , 167 ,010202,3/14/2022,3/14/2022 10:36:34 PM ,3/14/2022 10:37:14 PM , 40 ,0.08,2.67,g,
 26 , 180 ,010202,3/14/2022,3/14/2022 11:52:29 PM ,3/14/2022 11:52:41 PM , 12 ,0.07,2.74,g,
 27 , 184 ,010202,3/15/2022,3/15/2022 12:10:26 AM ,3/15/2022 12:12:09 AM , 103 ,0.04,2.78,g,
 28 , 187 ,010202,3/15/2022,3/15/2022 12:28:45 AM ,3/15/2022 12:29:55 AM , 70 ,0.09,2.87,g,
 29 , 189 ,010202,3/15/2022,3/15/2022 12:38:55 AM ,3/15/2022 12:40:20 AM , 85 ,0.08,2.95,g,
 30 , 189 ,010202,3/15/2022,3/15/2022 12:42:59 AM ,3/15/2022 12:43:41 AM , 42 ,0.15,3.10,g,
 31 , 205 ,010202,3/15/2022,3/15/2022 2:14:29 AM ,3/15/2022 2:15:02 AM , 33 ,0.04,3.14,g,
 32 , 209 ,010202,3/15/2022,3/15/2022 2:33:31 AM ,3/15/2022 2:35:46 AM , 135 ,0.48,3.62,g,
 33 , 209 ,010202,3/15/2022,3/15/2022 2:38:06 AM ,3/15/2022 2:38:08 AM , 2 ,0.18,3.80,g,
 34 , 236 ,010202,3/15/2022,3/15/2022 5:05:32 AM ,3/15/2022 5:06:10 AM , 38 ,0.25,4.05,g,
 35 , 236 ,010202,3/15/2022,3/15/2022 5:08:28 AM ,3/15/2022 5:09:33 AM , 65 ,0.05,4.10,g,
 36 , 238 ,010202,3/15/2022,3/15/2022 5:21:30 AM ,3/15/2022 5:21:38 AM , 8 ,0.20,4.30,g,
