Oxymax Feeding Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:49 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0111
SUBJECT ID:F8-2
SUBJECT MASS:17.7 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011101,3/14/2022,3/14/2022 6:54:53 AM ,3/14/2022 6:55:23 AM , 30 ,0.05,0.05,g,
 2 , 11 ,011101,3/14/2022,3/14/2022 7:49:04 AM ,3/14/2022 7:51:22 AM , 138 ,0.04,0.09,g,
 3 , 11 ,011101,3/14/2022,3/14/2022 7:54:23 AM ,3/14/2022 7:54:51 AM , 28 ,0.05,0.14,g,
 4 , 13 ,011101,3/14/2022,3/14/2022 8:03:05 AM ,3/14/2022 8:03:38 AM , 33 ,0.04,0.18,g,
 5 , 17 ,011101,3/14/2022,3/14/2022 8:25:07 AM ,3/14/2022 8:26:27 AM , 80 ,0.08,0.26,g,
 6 , 46 ,011101,3/14/2022,3/14/2022 11:13:37 AM ,3/14/2022 11:14:40 AM , 63 ,0.21,0.47,g,
 7 , 51 ,011101,3/14/2022,3/14/2022 11:40:28 AM ,3/14/2022 11:41:44 AM , 76 ,0.11,0.58,g,
 8 , 114 ,011101,3/14/2022,3/14/2022 5:30:44 PM ,3/14/2022 5:36:13 PM , 329 ,0.14,0.72,g,
 9 , 119 ,011101,3/14/2022,3/14/2022 6:02:40 PM ,3/14/2022 6:04:28 PM , 108 ,0.08,0.80,g,
 10 , 119 ,011101,3/14/2022,3/14/2022 6:06:53 PM ,3/14/2022 6:07:01 PM , 8 ,0.05,0.85,g,
 11 , 137 ,011101,3/14/2022,3/14/2022 7:44:35 PM ,3/14/2022 7:49:20 PM , 285 ,0.04,0.88,g,
 12 , 138 ,011101,3/14/2022,3/14/2022 7:52:03 PM ,3/14/2022 7:52:09 PM , 6 ,0.05,0.94,g,
 13 , 141 ,011101,3/14/2022,3/14/2022 8:05:10 PM ,3/14/2022 8:07:45 PM , 155 ,0.09,1.03,g,
 14 , 143 ,011101,3/14/2022,3/14/2022 8:19:03 PM ,3/14/2022 8:19:12 PM , 9 ,0.04,1.07,g,
 15 , 154 ,011101,3/14/2022,3/14/2022 9:22:17 PM ,3/14/2022 9:23:48 PM , 91 ,0.05,1.11,g,
 16 , 154 ,011101,3/14/2022,3/14/2022 9:24:02 PM ,3/14/2022 9:24:10 PM , 8 ,0.06,1.17,g,
 17 , 158 ,011101,3/14/2022,3/14/2022 9:42:57 PM ,3/14/2022 9:44:09 PM , 72 ,0.05,1.22,g,
 18 , 158 ,011101,3/14/2022,3/14/2022 9:47:26 PM ,3/14/2022 9:48:29 PM , 63 ,0.05,1.26,g,
 19 , 161 ,011101,3/14/2022,3/14/2022 10:00:40 PM ,3/14/2022 10:03:36 PM , 176 ,0.03,1.29,g,
 20 , 161 ,011101,3/14/2022,3/14/2022 10:05:53 PM ,3/14/2022 10:06:11 PM , 18 ,0.04,1.33,g,
 21 , 167 ,011101,3/14/2022,3/14/2022 10:30:47 PM ,3/14/2022 10:35:11 PM , 264 ,0.11,1.44,g,
 22 , 167 ,011101,3/14/2022,3/14/2022 10:38:48 PM ,3/14/2022 10:39:20 PM , 32 ,0.03,1.48,g,
 23 , 172 ,011101,3/14/2022,3/14/2022 11:03:30 PM ,3/14/2022 11:04:26 PM , 56 ,0.04,1.52,g,
 24 , 172 ,011101,3/14/2022,3/14/2022 11:05:22 PM ,3/14/2022 11:06:26 PM , 64 ,0.09,1.61,g,
 25 , 178 ,011101,3/14/2022,3/14/2022 11:37:21 PM ,3/14/2022 11:37:31 PM , 10 ,0.25,1.86,g,
 26 , 178 ,011101,3/14/2022,3/14/2022 11:38:25 PM ,3/14/2022 11:38:41 PM , 16 ,0.06,1.92,g,
 27 , 242 ,011101,3/15/2022,3/15/2022 5:36:01 AM ,3/15/2022 5:42:53 AM , 412 ,0.08,1.99,g,
 28 , 244 ,011101,3/15/2022,3/15/2022 5:54:17 AM ,3/15/2022 5:54:34 AM , 17 ,0.03,2.03,g,
