Oxymax CSV File 

CSV Generation Date,8/8/2024 11:50:21 AM 
Experiment Started,8/5/2024 5:20:32 PM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2024-08-05 Aged WT vs Young TN RT.CDTA

Group/Cage,0101
O2 Calibration Date,8/5/2024 8:26:20 AM
CO2 Calibration Date,8/5/2024 8:26:20 AM
Subject ID,3579
Subject Mass (G), 21.2 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,8/5/2024 5:21:15 PM ,4261,20.908,20.752,0.156,0.0,3438,0.061,0.192,0.131,0.0,0.807,20.5,0.927,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,86,45,129,66,7,0.0,0.3,0.0,52.1,30.5,30.6,30.0,0,0,0,
2,0101,8/5/2024 5:26:55 PM ,4273,20.908,20.753,0.155,0.0,3260,0.061,0.185,0.124,0.0,0.763,20.3,0.927,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,694,298,819,438,37,0.0,0.3,0.0,52.0,30.6,30.3,30.0,0,0,100,
3,0101,8/5/2024 5:32:35 PM ,4198,20.908,20.755,0.152,0.0,3249,0.059,0.183,0.124,0.0,0.774,20.0,0.928,75.00,STABLE / OPEN,0.03,0.03,0.047,0.047,776,312,1043,462,36,0.0,0.3,0.0,52.4,30.8,30.2,30.0,0,0,100,
4,0101,8/5/2024 5:38:15 PM ,4078,20.908,20.759,0.149,0.0,3255,0.058,0.182,0.124,0.0,0.798,19.6,0.929,75.00,STABLE / OPEN,0.00,0.03,0.000,0.047,294,93,694,307,3,0.0,0.3,0.0,52.5,30.8,30.6,30.0,0,0,100,
5,0101,8/5/2024 5:43:55 PM ,3961,20.908,20.764,0.144,0.0,3050,0.057,0.174,0.116,0.0,0.770,18.9,0.925,75.00,STABLE / OPEN,0.00,0.03,0.075,0.122,381,131,659,387,8,0.0,0.3,0.0,53.0,30.8,30.3,30.0,0,0,100,
6,0101,8/5/2024 5:49:35 PM ,3787,20.908,20.770,0.138,0.0,2978,0.056,0.169,0.113,0.0,0.786,18.1,0.928,75.00,STABLE / OPEN,0.04,0.08,0.000,0.122,256,152,359,211,10,0.0,0.3,0.0,52.9,30.9,30.4,30.0,0,0,100,
7,0101,8/5/2024 5:55:15 PM ,3560,20.908,20.778,0.130,0.0,2824,0.055,0.162,0.108,0.0,0.793,17.1,0.927,75.00,UNSTABLE / OPEN,0.00,0.08,0.000,0.122,192,95,224,109,13,0.0,0.3,0.0,53.1,30.9,30.5,30.0,0,0,100,
