Oxymax CSV File 

CSV Generation Date,8/8/2024 11:50:26 AM 
Experiment Started,8/5/2024 5:20:32 PM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2024-08-05 Aged WT vs Young TN RT.CDTA

Group/Cage,0104
O2 Calibration Date,8/5/2024 8:26:20 AM
CO2 Calibration Date,8/5/2024 8:26:20 AM
Subject ID,3580
Subject Mass (G), 21.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,8/5/2024 5:22:15 PM ,4704,20.908,20.730,0.178,0.0,3785,0.061,0.210,0.149,0.0,0.805,22.6,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,190,91,196,99,7,0.0,0.3,0.0,50.6,30.6,30.7,30.0,0,0,0,
2,0104,8/5/2024 5:27:55 PM ,4552,20.908,20.735,0.172,0.0,3681,0.061,0.206,0.145,0.0,0.809,21.9,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,986,601,1358,899,107,0.0,0.3,0.0,50.7,30.7,30.4,30.0,0,0,100,
3,0104,8/5/2024 5:33:35 PM ,4501,20.908,20.738,0.170,0.0,3581,0.059,0.201,0.141,0.0,0.796,21.6,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,883,401,1152,664,83,0.0,0.3,0.0,50.9,30.9,30.1,30.0,0,0,100,
4,0104,8/5/2024 5:39:15 PM ,4309,20.908,20.744,0.163,0.0,3486,0.058,0.196,0.138,0.0,0.809,20.7,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,368,187,857,348,5,0.0,0.3,0.0,51.0,31.0,30.7,30.0,0,0,100,
5,0104,8/5/2024 5:44:55 PM ,4272,20.908,20.746,0.161,0.0,3387,0.057,0.191,0.134,0.0,0.793,20.5,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1174,712,1490,1027,71,0.0,0.3,0.0,52.2,31.1,30.4,30.0,0,0,100,
6,0104,8/5/2024 5:50:35 PM ,3866,20.908,20.761,0.147,0.0,3174,0.056,0.181,0.125,0.0,0.821,18.7,0.918,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,730,435,901,577,60,0.0,0.3,0.0,53.4,31.3,30.0,30.0,0,0,100,
7,0104,8/5/2024 5:56:15 PM ,3183,20.908,20.787,0.121,0.1,2617,0.055,0.158,0.103,0.0,0.822,15.4,0.917,75.00,STABLE / OPEN,0.04,0.09,0.000,0.000,194,76,197,111,0,0.0,0.3,0.0,52.9,31.3,30.6,30.0,0,0,100,
