Oxymax CSV File 

CSV Generation Date,8/8/2024 11:50:32 AM 
Experiment Started,8/5/2024 5:20:32 PM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2024-08-05 Aged WT vs Young TN RT.CDTA

Group/Cage,0108
O2 Calibration Date,8/5/2024 8:26:20 AM
CO2 Calibration Date,8/5/2024 8:26:20 AM
Subject ID,3582
Subject Mass (G), 22.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0108,8/5/2024 5:23:35 PM ,4314,20.908,20.738,0.170,0.0,3211,0.061,0.194,0.134,0.0,0.744,20.4,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,178,4,127,20,0,0.0,0.3,0.0,49.4,30.2,30.2,30.0,0,0,0,
2,0108,8/5/2024 5:29:15 PM ,4465,20.908,20.733,0.175,0.0,3221,0.061,0.195,0.134,0.0,0.721,21.0,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,96,34,328,122,0,0.0,0.3,0.0,49.5,30.5,30.5,30.0,0,0,100,
3,0108,8/5/2024 5:34:55 PM ,4271,20.908,20.740,0.167,0.0,3116,0.059,0.189,0.129,0.0,0.729,20.1,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,294,9,197,57,0,0.0,0.3,0.0,49.7,30.7,30.2,30.0,0,0,100,
4,0108,8/5/2024 5:40:35 PM ,4550,20.908,20.729,0.178,0.0,3310,0.058,0.196,0.138,0.0,0.727,21.4,0.910,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,349,190,637,379,20,0.0,0.3,0.0,49.2,31.0,30.3,30.0,0,0,100,
5,0108,8/5/2024 5:46:15 PM ,4004,20.908,20.752,0.156,0.0,2834,0.057,0.175,0.118,0.0,0.708,18.8,0.911,75.00,STABLE / OPEN,0.00,0.00,0.224,0.224,52,32,202,35,0,0.0,0.3,0.0,49.1,31.1,30.6,30.0,0,0,100,
6,0108,8/5/2024 5:51:55 PM ,3709,20.908,20.763,0.145,0.0,2644,0.056,0.166,0.110,0.0,0.713,17.4,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.224,126,12,177,27,0,0.0,0.3,0.0,49.1,31.2,30.0,30.0,0,0,100,
7,0108,8/5/2024 5:57:35 PM ,3067,20.908,20.788,0.120,0.1,2226,0.055,0.147,0.092,0.0,0.726,14.4,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.224,0,0,2,1,0,0.0,0.3,0.0,49.0,31.3,30.6,30.0,0,0,100,
