RecNumber,Label,Fat.mass,Lean.mass,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments,filename
1,WT 1,2.45,22.88,0.12,19.87,09:38:17; 5 Aug 2022; 75; ems,1,26.7,EtOH,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0115.CSV
2,WT 2,2.92,22.98,0.06,20.5,09:44:05; 5 Aug 2022; 76; ems,1,27.6,EtOH,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0102.CSV
3,WT 3,2.08,22.71,0.11,20.25,09:48:45; 5 Aug 2022; 75; ems,1,26.5,EtOH,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0104.CSV
4,WT 4,1.51,22.28,0.09,19.91,09:53:47; 5 Aug 2022; 75; ems,1,25.3,EtOH,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0105.CSV
9,WT 1,1.49,19.49,0.06,17.26,10:19:56; 5 Aug 2022; 75; ems,1,22.3,MC903,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0108.CSV
10,WT 2,1.67,19.95,0.09,17.61,10:25:30; 5 Aug 2022; 75; ems,1,23,MC903,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0110.CSV
11,WT 3,0.83,17.97,0.05,15.73,10:30:14; 5 Aug 2022; 75; ems,1,20,MC903,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0112.CSV
12,WT 4,1.13,18.88,0.06,16.52,10:35:03; 5 Aug 2022; 75; ems,1,21.3,MC903,2022-07-25 Taku HFD MC903 IL4ra KO vs WT.0114.CSV
