===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 9 ,3/15/2022 7:41:40 AM , 54 ,3/15/2022 7:42:00 AM , 17 ,3/15/2022 7:42:20 AM , 145 ,3/15/2022 7:42:40 AM , 102 ,3/15/2022 7:43:00 AM , 82 ,3/15/2022 7:43:20 AM , 89 ,3/15/2022 7:43:40 AM , 106 ,3/15/2022 7:44:00 AM , 60 ,3/15/2022 7:44:20 AM , 30 ,3/15/2022 7:44:40 AM , 147 ,3/15/2022 7:45:00 AM , 28 ,3/15/2022 7:45:20 AM , 61 ,3/15/2022 7:45:40 AM , 56 ,3/15/2022 7:46:00 AM , 100 ,3/15/2022 7:46:20 AM , 31 ,3/15/2022 7:46:40 AM , 68 ,
 10 ,3/15/2022 7:47:20 AM , 49 ,3/15/2022 7:47:40 AM , 70 ,3/15/2022 7:48:00 AM , 37 ,3/15/2022 7:48:20 AM , 68 ,3/15/2022 7:48:40 AM , 31 ,3/15/2022 7:49:00 AM , 101 ,3/15/2022 7:49:20 AM , 84 ,3/15/2022 7:49:40 AM , 46 ,3/15/2022 7:50:00 AM , 196 ,3/15/2022 7:50:20 AM , 224 ,3/15/2022 7:50:40 AM , 68 ,3/15/2022 7:51:00 AM , 16 ,3/15/2022 7:51:20 AM , 6 ,3/15/2022 7:51:40 AM , 49 ,3/15/2022 7:52:00 AM , 83 ,3/15/2022 7:52:20 AM , 175 ,
 11 ,3/15/2022 7:53:00 AM , 26 ,3/15/2022 7:53:20 AM , 69 ,3/15/2022 7:53:40 AM , 11 ,3/15/2022 7:54:00 AM , 56 ,3/15/2022 7:54:20 AM , 99 ,3/15/2022 7:54:40 AM , 38 ,3/15/2022 7:55:00 AM , 62 ,3/15/2022 7:55:20 AM , 15 ,3/15/2022 7:55:40 AM , 214 ,3/15/2022 7:56:00 AM , 147 ,3/15/2022 7:56:20 AM , 35 ,3/15/2022 7:56:40 AM , 43 ,3/15/2022 7:57:00 AM , 95 ,3/15/2022 7:57:20 AM , 91 ,3/15/2022 7:57:40 AM , 42 ,3/15/2022 7:58:00 AM , 131 ,
 12 ,3/15/2022 7:58:40 AM , 71 ,3/15/2022 7:59:00 AM , 72 ,3/15/2022 7:59:20 AM , 66 ,3/15/2022 7:59:40 AM , 64 ,3/15/2022 8:00:00 AM , 75 ,3/15/2022 8:00:20 AM , 51 ,3/15/2022 8:00:40 AM , 118 ,3/15/2022 8:01:00 AM , 69 ,3/15/2022 8:01:20 AM , 56 ,3/15/2022 8:01:40 AM , 238 ,3/15/2022 8:02:00 AM , 92 ,3/15/2022 8:02:20 AM , 34 ,3/15/2022 8:02:40 AM , 148 ,3/15/2022 8:03:00 AM , 57 ,3/15/2022 8:03:20 AM , 170 ,3/15/2022 8:03:40 AM , 143 ,
 13 ,3/15/2022 8:04:20 AM , 193 ,3/15/2022 8:04:40 AM , 56 ,3/15/2022 8:05:00 AM , 32 ,3/15/2022 8:05:20 AM , 13 ,3/15/2022 8:05:40 AM , 21 ,3/15/2022 8:06:00 AM , 40 ,3/15/2022 8:06:20 AM , 50 ,3/15/2022 8:06:40 AM , 25 ,3/15/2022 8:07:00 AM , 169 ,3/15/2022 8:07:20 AM , 204 ,3/15/2022 8:07:40 AM , 77 ,3/15/2022 8:08:00 AM , 5 ,3/15/2022 8:08:20 AM , 82 ,3/15/2022 8:08:40 AM , 223 ,3/15/2022 8:09:00 AM , 69 ,3/15/2022 8:09:20 AM , 117 ,
 14 ,3/15/2022 8:10:00 AM , 12 ,3/15/2022 8:10:20 AM , 2 ,3/15/2022 8:10:40 AM , 10 ,3/15/2022 8:11:00 AM , 49 ,3/15/2022 8:11:20 AM , 61 ,3/15/2022 8:11:40 AM , 130 ,3/15/2022 8:12:00 AM , 97 ,3/15/2022 8:12:20 AM , 70 ,3/15/2022 8:12:40 AM , 251 ,3/15/2022 8:13:00 AM , 100 ,3/15/2022 8:13:20 AM , 35 ,3/15/2022 8:13:40 AM , 136 ,3/15/2022 8:14:00 AM , 69 ,3/15/2022 8:14:20 AM , 101 ,3/15/2022 8:14:40 AM , 88 ,3/15/2022 8:15:00 AM , 140 ,
 15 ,3/15/2022 8:15:40 AM , 31 ,3/15/2022 8:16:00 AM , 65 ,3/15/2022 8:16:20 AM , 77 ,3/15/2022 8:16:40 AM , 70 ,3/15/2022 8:17:00 AM , 22 ,3/15/2022 8:17:20 AM , 125 ,3/15/2022 8:17:40 AM , 20 ,3/15/2022 8:18:00 AM , 79 ,3/15/2022 8:18:20 AM , 23 ,3/15/2022 8:18:40 AM , 47 ,3/15/2022 8:19:00 AM , 15 ,3/15/2022 8:19:20 AM , 18 ,3/15/2022 8:19:40 AM , 88 ,3/15/2022 8:20:00 AM , 47 ,3/15/2022 8:20:20 AM , 73 ,3/15/2022 8:20:40 AM , 133 ,
 16 ,3/15/2022 8:21:20 AM , 65 ,3/15/2022 8:21:40 AM , 133 ,3/15/2022 8:22:00 AM , 4 ,3/15/2022 8:22:20 AM , 28 ,3/15/2022 8:22:40 AM , 59 ,3/15/2022 8:23:00 AM , 4 ,3/15/2022 8:23:20 AM , 120 ,3/15/2022 8:23:40 AM , 26 ,3/15/2022 8:24:00 AM , 52 ,3/15/2022 8:24:20 AM , 91 ,3/15/2022 8:24:40 AM , 31 ,3/15/2022 8:25:00 AM , 33 ,3/15/2022 8:25:20 AM , 8 ,3/15/2022 8:25:40 AM , 63 ,3/15/2022 8:26:00 AM , 117 ,3/15/2022 8:26:20 AM , 147 ,
 17 ,3/15/2022 8:27:00 AM , 24 ,3/15/2022 8:27:20 AM , 6 ,3/15/2022 8:27:40 AM , 103 ,3/15/2022 8:28:00 AM , 70 ,3/15/2022 8:28:20 AM , 10 ,3/15/2022 8:28:40 AM , 0 ,3/15/2022 8:29:00 AM , 86 ,3/15/2022 8:29:20 AM , 51 ,3/15/2022 8:29:40 AM , 178 ,3/15/2022 8:30:00 AM , 108 ,3/15/2022 8:30:20 AM , 28 ,3/15/2022 8:30:40 AM , 31 ,3/15/2022 8:31:00 AM , 10 ,3/15/2022 8:31:20 AM , 111 ,3/15/2022 8:31:40 AM , 71 ,3/15/2022 8:32:00 AM , 166 ,
 18 ,3/15/2022 8:32:40 AM , 1 ,3/15/2022 8:33:00 AM , 30 ,3/15/2022 8:33:20 AM , 10 ,3/15/2022 8:33:40 AM , 73 ,3/15/2022 8:34:00 AM , 0 ,3/15/2022 8:34:20 AM , 0 ,3/15/2022 8:34:40 AM , 35 ,3/15/2022 8:35:00 AM , 16 ,3/15/2022 8:35:20 AM , 205 ,3/15/2022 8:35:40 AM , 52 ,3/15/2022 8:36:00 AM , 2 ,3/15/2022 8:36:20 AM , 110 ,3/15/2022 8:36:40 AM , 66 ,3/15/2022 8:37:00 AM , 61 ,3/15/2022 8:37:20 AM , 89 ,3/15/2022 8:37:40 AM , 193 ,
