Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:17 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0104
SUBJECT ID:8-2
SUBJECT MASS:25.7 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 3 ,010402,3/15/2022,3/15/2022 7:10:24 AM ,3/15/2022 7:10:26 AM , 2 ,0.04,0.04,g,
 2 , 4 ,010402,3/15/2022,3/15/2022 7:16:11 AM ,3/15/2022 7:16:22 AM , 11 ,0.05,0.09,g,
 3 , 6 ,010402,3/15/2022,3/15/2022 7:28:10 AM ,3/15/2022 7:28:31 AM , 21 ,0.06,0.14,g,
 4 , 7 ,010402,3/15/2022,3/15/2022 7:30:30 AM ,3/15/2022 7:30:52 AM , 22 ,0.29,0.44,g,
 5 , 8 ,010402,3/15/2022,3/15/2022 7:35:49 AM ,3/15/2022 7:36:11 AM , 22 ,0.03,0.47,g,
 6 , 10 ,010402,3/15/2022,3/15/2022 7:48:56 AM ,3/15/2022 7:49:16 AM , 20 ,0.04,0.51,g,
 7 , 19 ,010402,3/15/2022,3/15/2022 8:40:54 AM ,3/15/2022 8:41:31 AM , 37 ,0.04,0.56,g,
 8 , 20 ,010402,3/15/2022,3/15/2022 8:42:02 AM ,3/15/2022 8:43:11 AM , 69 ,0.07,0.62,g,
 9 , 26 ,010402,3/15/2022,3/15/2022 9:17:07 AM ,3/15/2022 9:17:17 AM , 10 ,0.04,0.66,g,
 10 , 26 ,010402,3/15/2022,3/15/2022 9:21:28 AM ,3/15/2022 9:22:06 AM , 38 ,0.03,0.69,g,
 11 , 31 ,010402,3/15/2022,3/15/2022 9:48:13 AM ,3/15/2022 9:48:25 AM , 12 ,0.06,0.75,g,
 12 , 41 ,010402,3/15/2022,3/15/2022 10:43:36 AM ,3/15/2022 10:43:46 AM , 10 ,0.09,0.84,g,
 13 , 50 ,010402,3/15/2022,3/15/2022 11:34:04 AM ,3/15/2022 11:34:16 AM , 12 ,0.08,0.92,g,
 14 , 62 ,010402,3/15/2022,3/15/2022 12:41:38 PM ,3/15/2022 12:42:04 PM , 26 ,0.09,1.01,g,
 15 , 62 ,010402,3/15/2022,3/15/2022 12:44:12 PM ,3/15/2022 12:44:14 PM , 2 ,0.06,1.07,g,
 16 , 66 ,010402,3/15/2022,3/15/2022 1:06:19 PM ,3/15/2022 1:06:25 PM , 6 ,0.04,1.11,g,
 17 , 85 ,010402,3/15/2022,3/15/2022 2:53:55 PM ,3/15/2022 2:54:01 PM , 6 ,0.11,1.22,g,
 18 , 106 ,010402,3/15/2022,3/15/2022 4:52:18 PM ,3/15/2022 4:52:20 PM , 2 ,0.14,1.35,g,
 19 , 112 ,010402,3/15/2022,3/15/2022 5:27:02 PM ,3/15/2022 5:28:14 PM , 72 ,0.04,1.39,g,
 20 , 113 ,010402,3/15/2022,3/15/2022 5:34:48 PM ,3/15/2022 5:34:56 PM , 8 ,0.08,1.48,g,
 21 , 114 ,010402,3/15/2022,3/15/2022 5:39:30 PM ,3/15/2022 5:41:07 PM , 97 ,0.05,1.52,g,
 22 , 116 ,010402,3/15/2022,3/15/2022 5:51:37 PM ,3/15/2022 5:51:39 PM , 2 ,0.05,1.57,g,
 23 , 127 ,010402,3/15/2022,3/15/2022 6:53:57 PM ,3/15/2022 6:53:59 PM , 2 ,0.07,1.64,g,
 24 , 133 ,010402,3/15/2022,3/15/2022 7:28:46 PM ,3/15/2022 7:28:56 PM , 10 ,0.04,1.68,g,
 25 , 134 ,010402,3/15/2022,3/15/2022 7:31:50 PM ,3/15/2022 7:34:28 PM , 158 ,0.06,1.74,g,
 26 , 143 ,010402,3/15/2022,3/15/2022 8:23:28 PM ,3/15/2022 8:24:28 PM , 60 ,0.07,1.81,g,
 27 , 147 ,010402,3/15/2022,3/15/2022 8:45:02 PM ,3/15/2022 8:45:20 PM , 18 ,0.05,1.86,g,
 28 , 150 ,010402,3/15/2022,3/15/2022 9:02:41 PM ,3/15/2022 9:02:43 PM , 2 ,0.03,1.90,g,
 29 , 155 ,010402,3/15/2022,3/15/2022 9:31:27 PM ,3/15/2022 9:31:55 PM , 28 ,0.05,1.95,g,
 30 , 156 ,010402,3/15/2022,3/15/2022 9:34:15 PM ,3/15/2022 9:34:21 PM , 6 ,0.04,1.98,g,
 31 , 158 ,010402,3/15/2022,3/15/2022 9:46:23 PM ,3/15/2022 9:46:38 PM , 15 ,0.11,2.10,g,
 32 , 169 ,010402,3/15/2022,3/15/2022 10:47:47 PM ,3/15/2022 10:48:15 PM , 28 ,0.06,2.16,g,
 33 , 171 ,010402,3/15/2022,3/15/2022 10:59:01 PM ,3/15/2022 11:01:38 PM , 157 ,0.04,2.19,g,
 34 , 172 ,010402,3/15/2022,3/15/2022 11:03:44 PM ,3/15/2022 11:04:42 PM , 58 ,0.05,2.24,g,
 35 , 178 ,010402,3/15/2022,3/15/2022 11:36:36 PM ,3/15/2022 11:38:47 PM , 131 ,0.05,2.29,g,
 36 , 181 ,010402,3/15/2022,3/15/2022 11:56:10 PM ,3/15/2022 11:56:40 PM , 30 ,0.05,2.34,g,
 37 , 183 ,010402,3/16/2022,3/16/2022 12:10:39 AM ,3/16/2022 12:12:21 AM , 102 ,0.03,2.37,g,
 38 , 198 ,010402,3/16/2022,3/16/2022 1:32:25 AM ,3/16/2022 1:32:31 AM , 6 ,0.04,2.42,g,
 39 , 204 ,010402,3/16/2022,3/16/2022 2:09:42 AM ,3/16/2022 2:11:07 AM , 85 ,0.07,2.49,g,
 40 , 206 ,010402,3/16/2022,3/16/2022 2:17:40 AM ,3/16/2022 2:18:22 AM , 42 ,0.07,2.56,g,
 41 , 206 ,010402,3/16/2022,3/16/2022 2:18:42 AM ,3/16/2022 2:19:20 AM , 38 ,0.11,2.67,g,
 42 , 220 ,010402,3/16/2022,3/16/2022 3:39:14 AM ,3/16/2022 3:39:20 AM , 6 ,0.04,2.71,g,
 43 , 223 ,010402,3/16/2022,3/16/2022 3:54:50 AM ,3/16/2022 3:54:59 AM , 9 ,0.03,2.74,g,
 44 , 224 ,010402,3/16/2022,3/16/2022 4:02:10 AM ,3/16/2022 4:02:44 AM , 34 ,0.06,2.80,g,
 45 , 228 ,010402,3/16/2022,3/16/2022 4:24:14 AM ,3/16/2022 4:24:36 AM , 22 ,0.06,2.85,g,
 46 , 231 ,010402,3/16/2022,3/16/2022 4:40:05 AM ,3/16/2022 4:40:11 AM , 6 ,0.03,2.88,g,
