Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:23 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0113
SUBJECT ID:F16-3
SUBJECT MASS:23.5 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 18 ,011302,3/15/2022,3/15/2022 8:35:46 AM ,3/15/2022 8:37:24 AM , 98 ,0.04,0.04,g,
 2 , 21 ,011302,3/15/2022,3/15/2022 8:52:19 AM ,3/15/2022 8:53:22 AM , 63 ,0.04,0.08,g,
 3 , 25 ,011302,3/15/2022,3/15/2022 9:13:03 AM ,3/15/2022 9:17:04 AM , 241 ,0.04,0.12,g,
 4 , 28 ,011302,3/15/2022,3/15/2022 9:30:49 AM ,3/15/2022 9:30:59 AM , 10 ,0.05,0.18,g,
 5 , 32 ,011302,3/15/2022,3/15/2022 9:52:27 AM ,3/15/2022 9:53:09 AM , 42 ,0.06,0.24,g,
 6 , 36 ,011302,3/15/2022,3/15/2022 10:14:03 AM ,3/15/2022 10:16:06 AM , 123 ,0.07,0.31,g,
 7 , 42 ,011302,3/15/2022,3/15/2022 10:48:26 AM ,3/15/2022 10:48:28 AM , 2 ,0.10,0.41,g,
 8 , 44 ,011302,3/15/2022,3/15/2022 11:04:09 AM ,3/15/2022 11:04:27 AM , 18 ,0.06,0.47,g,
 9 , 64 ,011302,3/15/2022,3/15/2022 12:53:09 PM ,3/15/2022 12:53:31 PM , 22 ,0.07,0.54,g,
 10 , 65 ,011302,3/15/2022,3/15/2022 1:02:13 PM ,3/15/2022 1:03:25 PM , 72 ,0.07,0.62,g,
 11 , 66 ,011302,3/15/2022,3/15/2022 1:03:39 PM ,3/15/2022 1:05:11 PM , 92 ,0.10,0.71,g,
 12 , 85 ,011302,3/15/2022,3/15/2022 2:54:12 PM ,3/15/2022 2:54:14 PM , 2 ,0.10,0.81,g,
 13 , 88 ,011302,3/15/2022,3/15/2022 3:12:02 PM ,3/15/2022 3:12:44 PM , 42 ,0.07,0.88,g,
 14 , 109 ,011302,3/15/2022,3/15/2022 5:08:48 PM ,3/15/2022 5:08:50 PM , 2 ,0.12,1.00,g,
 15 , 112 ,011302,3/15/2022,3/15/2022 5:27:17 PM ,3/15/2022 5:28:29 PM , 72 ,0.04,1.04,g,
 16 , 121 ,011302,3/15/2022,3/15/2022 6:18:11 PM ,3/15/2022 6:18:13 PM , 2 ,0.08,1.12,g,
 17 , 133 ,011302,3/15/2022,3/15/2022 7:23:45 PM ,3/15/2022 7:23:50 PM , 5 ,0.09,1.21,g,
 18 , 142 ,011302,3/15/2022,3/15/2022 8:12:35 PM ,3/15/2022 8:15:49 PM , 194 ,0.05,1.26,g,
 19 , 142 ,011302,3/15/2022,3/15/2022 8:16:31 PM ,3/15/2022 8:17:36 PM , 65 ,0.11,1.37,g,
 20 , 166 ,011302,3/15/2022,3/15/2022 10:35:09 PM ,3/15/2022 10:35:15 PM , 6 ,0.16,1.53,g,
 21 , 170 ,011302,3/15/2022,3/15/2022 10:53:17 PM ,3/15/2022 10:53:45 PM , 28 ,0.06,1.60,g,
 22 , 171 ,011302,3/15/2022,3/15/2022 10:58:02 PM ,3/15/2022 10:59:48 PM , 106 ,0.12,1.72,g,
 23 , 183 ,011302,3/16/2022,3/16/2022 12:09:34 AM ,3/16/2022 12:09:40 AM , 6 ,0.06,1.78,g,
 24 , 189 ,011302,3/16/2022,3/16/2022 12:44:43 AM ,3/16/2022 12:45:45 AM , 62 ,0.11,1.89,g,
 25 , 192 ,011302,3/16/2022,3/16/2022 12:59:06 AM ,3/16/2022 1:00:08 AM , 62 ,0.05,1.94,g,
 26 , 194 ,011302,3/16/2022,3/16/2022 1:11:34 AM ,3/16/2022 1:13:59 AM , 145 ,0.03,1.97,g,
 27 , 199 ,011302,3/16/2022,3/16/2022 1:37:07 AM ,3/16/2022 1:37:39 AM , 32 ,0.03,2.00,g,
 28 , 200 ,011302,3/16/2022,3/16/2022 1:43:44 AM ,3/16/2022 1:45:51 AM , 127 ,0.23,2.23,g,
 29 , 211 ,011302,3/16/2022,3/16/2022 2:45:20 AM ,3/16/2022 2:46:52 AM , 92 ,0.09,2.32,g,
 30 , 228 ,011302,3/16/2022,3/16/2022 4:26:19 AM ,3/16/2022 4:26:34 AM , 15 ,0.13,2.45,g,
 31 , 230 ,011302,3/16/2022,3/16/2022 4:37:48 AM ,3/16/2022 4:38:40 AM , 52 ,0.19,2.64,g,
 32 , 244 ,011302,3/16/2022,3/16/2022 5:50:38 AM ,3/16/2022 5:53:24 AM , 166 ,0.15,2.79,g,
