Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:18 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0105
SUBJECT ID:16-3
SUBJECT MASS:29.8 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 29 ,010502,3/15/2022,3/15/2022 8:35:18 AM ,3/15/2022 9:39:30 AM , 3852 ,0.09,0.09,g,
 2 , 38 ,010502,3/15/2022,3/15/2022 9:51:27 AM ,3/15/2022 10:28:06 AM , 2199 ,0.05,0.14,g,
 3 , 40 ,010502,3/15/2022,3/15/2022 10:36:22 AM ,3/15/2022 10:39:32 AM , 190 ,0.13,0.27,g,
 4 , 58 ,010502,3/15/2022,3/15/2022 12:20:28 PM ,3/15/2022 12:23:06 PM , 158 ,0.11,0.38,g,
 5 , 76 ,010502,3/15/2022,3/15/2022 1:58:20 PM ,3/15/2022 2:00:52 PM , 152 ,0.22,0.60,g,
 6 , 88 ,010502,3/15/2022,3/15/2022 3:06:59 PM ,3/15/2022 3:09:27 PM , 148 ,0.05,0.65,g,
 7 , 107 ,010502,3/15/2022,3/15/2022 4:45:38 PM ,3/15/2022 5:01:24 PM , 946 ,0.16,0.81,g,
 8 , 112 ,010502,3/15/2022,3/15/2022 5:25:29 PM ,3/15/2022 5:29:22 PM , 233 ,0.05,0.86,g,
 9 , 128 ,010502,3/15/2022,3/15/2022 6:51:26 PM ,3/15/2022 6:57:25 PM , 359 ,0.14,1.00,g,
 10 , 138 ,010502,3/15/2022,3/15/2022 7:49:34 PM ,3/15/2022 7:52:11 PM , 157 ,0.09,1.09,g,
 11 , 149 ,010502,3/15/2022,3/15/2022 8:55:09 PM ,3/15/2022 8:56:21 PM , 72 ,0.06,1.15,g,
 12 , 154 ,010502,3/15/2022,3/15/2022 9:17:11 PM ,3/15/2022 9:22:52 PM , 341 ,0.06,1.21,g,
 13 , 168 ,010502,3/15/2022,3/15/2022 10:43:53 PM ,3/15/2022 10:46:32 PM , 159 ,0.05,1.26,g,
 14 , 172 ,010502,3/15/2022,3/15/2022 11:01:21 PM ,3/15/2022 11:07:21 PM , 360 ,0.04,1.30,g,
 15 , 179 ,010502,3/15/2022,3/15/2022 11:41:24 PM ,3/15/2022 11:45:47 PM , 263 ,0.05,1.35,g,
 16 , 185 ,010502,3/16/2022,3/16/2022 12:13:34 AM ,3/16/2022 12:19:52 AM , 378 ,0.07,1.42,g,
 17 , 188 ,010502,3/16/2022,3/16/2022 12:32:37 AM ,3/16/2022 12:40:48 AM , 491 ,0.04,1.46,g,
 18 , 194 ,010502,3/16/2022,3/16/2022 1:03:57 AM ,3/16/2022 1:13:59 AM , 602 ,0.04,1.50,g,
 19 , 199 ,010502,3/16/2022,3/16/2022 1:37:55 AM ,3/16/2022 1:39:59 AM , 124 ,0.05,1.56,g,
 20 , 207 ,010502,3/16/2022,3/16/2022 2:25:26 AM ,3/16/2022 2:28:03 AM , 157 ,0.04,1.60,g,
 21 , 212 ,010502,3/16/2022,3/16/2022 2:42:30 AM ,3/16/2022 2:55:16 AM , 766 ,0.07,1.67,g,
 22 , 217 ,010502,3/16/2022,3/16/2022 3:18:13 AM ,3/16/2022 3:23:26 AM , 313 ,0.05,1.72,g,
 23 , 222 ,010502,3/16/2022,3/16/2022 3:51:07 AM ,3/16/2022 3:52:27 AM , 80 ,0.04,1.76,g,
 24 , 227 ,010502,3/16/2022,3/16/2022 4:09:26 AM ,3/16/2022 4:21:19 AM , 713 ,0.06,1.82,g,
 25 , 235 ,010502,3/16/2022,3/16/2022 4:51:52 AM ,3/16/2022 5:02:54 AM , 662 ,0.05,1.87,g,
