Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:23 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0112
SUBJECT ID:F16-2
SUBJECT MASS:25.4 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 9 ,011202,3/15/2022,3/15/2022 7:43:01 AM ,3/15/2022 7:43:07 AM , 6 ,0.11,0.11,g,
 2 , 13 ,011202,3/15/2022,3/15/2022 8:08:42 AM ,3/15/2022 8:08:54 AM , 12 ,0.03,0.14,g,
 3 , 16 ,011202,3/15/2022,3/15/2022 8:23:57 AM ,3/15/2022 8:25:35 AM , 98 ,0.06,0.20,g,
 4 , 21 ,011202,3/15/2022,3/15/2022 8:51:32 AM ,3/15/2022 8:51:50 AM , 18 ,0.06,0.25,g,
 5 , 21 ,011202,3/15/2022,3/15/2022 8:52:30 AM ,3/15/2022 8:52:34 AM , 4 ,0.09,0.34,g,
 6 , 36 ,011202,3/15/2022,3/15/2022 10:18:39 AM ,3/15/2022 10:18:43 AM , 4 ,0.05,0.39,g,
 7 , 40 ,011202,3/15/2022,3/15/2022 10:37:41 AM ,3/15/2022 10:37:51 AM , 10 ,0.06,0.46,g,
 8 , 52 ,011202,3/15/2022,3/15/2022 11:49:03 AM ,3/15/2022 11:49:31 AM , 28 ,0.06,0.52,g,
 9 , 56 ,011202,3/15/2022,3/15/2022 12:07:15 PM ,3/15/2022 12:07:23 PM , 8 ,0.05,0.58,g,
 10 , 61 ,011202,3/15/2022,3/15/2022 12:36:02 PM ,3/15/2022 12:36:06 PM , 4 ,0.04,0.61,g,
 11 , 68 ,011202,3/15/2022,3/15/2022 1:15:20 PM ,3/15/2022 1:15:42 PM , 22 ,0.05,0.66,g,
 12 , 68 ,011202,3/15/2022,3/15/2022 1:17:49 PM ,3/15/2022 1:19:11 PM , 82 ,0.05,0.72,g,
 13 , 69 ,011202,3/15/2022,3/15/2022 1:22:50 PM ,3/15/2022 1:23:30 PM , 40 ,0.11,0.82,g,
 14 , 71 ,011202,3/15/2022,3/15/2022 1:35:20 PM ,3/15/2022 1:36:41 PM , 81 ,0.05,0.88,g,
 15 , 79 ,011202,3/15/2022,3/15/2022 2:20:15 PM ,3/15/2022 2:20:23 PM , 8 ,0.06,0.94,g,
 16 , 84 ,011202,3/15/2022,3/15/2022 2:51:05 PM ,3/15/2022 2:51:15 PM , 10 ,0.05,0.98,g,
 17 , 100 ,011202,3/15/2022,3/15/2022 4:16:29 PM ,3/15/2022 4:16:35 PM , 6 ,0.13,1.11,g,
 18 , 104 ,011202,3/15/2022,3/15/2022 4:41:44 PM ,3/15/2022 4:42:30 PM , 46 ,0.04,1.15,g,
 19 , 105 ,011202,3/15/2022,3/15/2022 4:47:49 PM ,3/15/2022 4:48:23 PM , 34 ,0.10,1.24,g,
 20 , 109 ,011202,3/15/2022,3/15/2022 5:08:31 PM ,3/15/2022 5:09:07 PM , 36 ,0.06,1.31,g,
 21 , 110 ,011202,3/15/2022,3/15/2022 5:15:46 PM ,3/15/2022 5:16:04 PM , 18 ,0.07,1.38,g,
 22 , 124 ,011202,3/15/2022,3/15/2022 6:36:30 PM ,3/15/2022 6:36:46 PM , 16 ,0.11,1.48,g,
 23 , 129 ,011202,3/15/2022,3/15/2022 7:03:33 PM ,3/15/2022 7:03:41 PM , 8 ,0.04,1.52,g,
 24 , 137 ,011202,3/15/2022,3/15/2022 7:51:02 PM ,3/15/2022 7:51:50 PM , 48 ,0.04,1.56,g,
 25 , 139 ,011202,3/15/2022,3/15/2022 8:00:55 PM ,3/15/2022 8:02:15 PM , 80 ,0.04,1.61,g,
 26 , 140 ,011202,3/15/2022,3/15/2022 8:04:58 PM ,3/15/2022 8:06:10 PM , 72 ,0.12,1.73,g,
 27 , 142 ,011202,3/15/2022,3/15/2022 8:17:29 PM ,3/15/2022 8:18:35 PM , 66 ,0.05,1.78,g,
 28 , 147 ,011202,3/15/2022,3/15/2022 8:45:18 PM ,3/15/2022 8:46:56 PM , 98 ,0.06,1.84,g,
 29 , 163 ,011202,3/15/2022,3/15/2022 10:13:33 PM ,3/15/2022 10:14:07 PM , 34 ,0.11,1.95,g,
 30 , 164 ,011202,3/15/2022,3/15/2022 10:21:36 PM ,3/15/2022 10:22:06 PM , 30 ,0.07,2.02,g,
 31 , 165 ,011202,3/15/2022,3/15/2022 10:25:13 PM ,3/15/2022 10:25:57 PM , 44 ,0.05,2.07,g,
 32 , 165 ,011202,3/15/2022,3/15/2022 10:26:19 PM ,3/15/2022 10:28:05 PM , 106 ,0.03,2.10,g,
 33 , 167 ,011202,3/15/2022,3/15/2022 10:35:47 PM ,3/15/2022 10:38:27 PM , 160 ,0.06,2.16,g,
 34 , 170 ,011202,3/15/2022,3/15/2022 10:52:48 PM ,3/15/2022 10:53:36 PM , 48 ,0.08,2.24,g,
 35 , 173 ,011202,3/15/2022,3/15/2022 11:12:30 PM ,3/15/2022 11:12:44 PM , 14 ,0.05,2.29,g,
 36 , 174 ,011202,3/15/2022,3/15/2022 11:15:50 PM ,3/15/2022 11:16:07 PM , 17 ,0.06,2.35,g,
 37 , 176 ,011202,3/15/2022,3/15/2022 11:28:27 PM ,3/15/2022 11:28:49 PM , 22 ,0.11,2.46,g,
 38 , 179 ,011202,3/15/2022,3/15/2022 11:47:32 PM ,3/15/2022 11:48:04 PM , 32 ,0.06,2.52,g,
 39 , 183 ,011202,3/16/2022,3/16/2022 12:08:09 AM ,3/16/2022 12:08:49 AM , 40 ,0.04,2.56,g,
 40 , 185 ,011202,3/16/2022,3/16/2022 12:18:11 AM ,3/16/2022 12:18:17 AM , 6 ,0.05,2.61,g,
 41 , 187 ,011202,3/16/2022,3/16/2022 12:29:43 AM ,3/16/2022 12:30:09 AM , 26 ,0.03,2.65,g,
 42 , 195 ,011202,3/16/2022,3/16/2022 1:17:22 AM ,3/16/2022 1:17:28 AM , 6 ,0.08,2.73,g,
 43 , 202 ,011202,3/16/2022,3/16/2022 1:58:56 AM ,3/16/2022 1:59:10 AM , 14 ,0.06,2.79,g,
 44 , 204 ,011202,3/16/2022,3/16/2022 2:09:16 AM ,3/16/2022 2:09:34 AM , 18 ,0.10,2.88,g,
 45 , 205 ,011202,3/16/2022,3/16/2022 2:11:41 AM ,3/16/2022 2:11:47 AM , 6 ,0.04,2.92,g,
 46 , 205 ,011202,3/16/2022,3/16/2022 2:12:07 AM ,3/16/2022 2:12:43 AM , 36 ,0.06,2.98,g,
 47 , 207 ,011202,3/16/2022,3/16/2022 2:23:25 AM ,3/16/2022 2:23:35 AM , 10 ,0.04,3.02,g,
 48 , 209 ,011202,3/16/2022,3/16/2022 2:35:52 AM ,3/16/2022 2:36:04 AM , 12 ,0.06,3.08,g,
 49 , 210 ,011202,3/16/2022,3/16/2022 2:44:37 AM ,3/16/2022 2:44:43 AM , 6 ,0.05,3.14,g,
 50 , 210 ,011202,3/16/2022,3/16/2022 2:45:09 AM ,3/16/2022 2:45:15 AM , 6 ,0.06,3.20,g,
 51 , 213 ,011202,3/16/2022,3/16/2022 2:57:56 AM ,3/16/2022 2:58:11 AM , 15 ,0.06,3.26,g,
 52 , 216 ,011202,3/16/2022,3/16/2022 3:14:03 AM ,3/16/2022 3:14:07 AM , 4 ,0.05,3.31,g,
 53 , 216 ,011202,3/16/2022,3/16/2022 3:17:09 AM ,3/16/2022 3:17:18 AM , 9 ,0.04,3.35,g,
 54 , 222 ,011202,3/16/2022,3/16/2022 3:49:19 AM ,3/16/2022 3:49:27 AM , 8 ,0.03,3.38,g,
 55 , 229 ,011202,3/16/2022,3/16/2022 4:31:05 AM ,3/16/2022 4:31:15 AM , 10 ,0.06,3.44,g,
 56 , 237 ,011202,3/16/2022,3/16/2022 5:14:58 AM ,3/16/2022 5:15:16 AM , 18 ,0.14,3.57,g,
