===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 9 ,3/15/2022 7:41:40 AM , 780 ,3/15/2022 7:42:00 AM , 962 ,3/15/2022 7:42:20 AM , 1354 ,3/15/2022 7:42:40 AM , 1179 ,3/15/2022 7:43:00 AM , 856 ,3/15/2022 7:43:20 AM , 1309 ,3/15/2022 7:43:40 AM , 1348 ,3/15/2022 7:44:00 AM , 1681 ,3/15/2022 7:44:20 AM , 1247 ,3/15/2022 7:44:40 AM , 1413 ,3/15/2022 7:45:00 AM , 1036 ,3/15/2022 7:45:20 AM , 1200 ,3/15/2022 7:45:40 AM , 1508 ,3/15/2022 7:46:00 AM , 982 ,3/15/2022 7:46:20 AM , 1170 ,3/15/2022 7:46:40 AM , 1550 ,
 10 ,3/15/2022 7:47:20 AM , 864 ,3/15/2022 7:47:40 AM , 793 ,3/15/2022 7:48:00 AM , 879 ,3/15/2022 7:48:20 AM , 943 ,3/15/2022 7:48:40 AM , 807 ,3/15/2022 7:49:00 AM , 1623 ,3/15/2022 7:49:20 AM , 1340 ,3/15/2022 7:49:40 AM , 1145 ,3/15/2022 7:50:00 AM , 1589 ,3/15/2022 7:50:20 AM , 1493 ,3/15/2022 7:50:40 AM , 854 ,3/15/2022 7:51:00 AM , 707 ,3/15/2022 7:51:20 AM , 512 ,3/15/2022 7:51:40 AM , 1283 ,3/15/2022 7:52:00 AM , 1209 ,3/15/2022 7:52:20 AM , 1020 ,
 11 ,3/15/2022 7:53:00 AM , 994 ,3/15/2022 7:53:20 AM , 1211 ,3/15/2022 7:53:40 AM , 557 ,3/15/2022 7:54:00 AM , 687 ,3/15/2022 7:54:20 AM , 1205 ,3/15/2022 7:54:40 AM , 823 ,3/15/2022 7:55:00 AM , 1099 ,3/15/2022 7:55:20 AM , 1080 ,3/15/2022 7:55:40 AM , 1679 ,3/15/2022 7:56:00 AM , 1245 ,3/15/2022 7:56:20 AM , 881 ,3/15/2022 7:56:40 AM , 800 ,3/15/2022 7:57:00 AM , 953 ,3/15/2022 7:57:20 AM , 1105 ,3/15/2022 7:57:40 AM , 1046 ,3/15/2022 7:58:00 AM , 1289 ,
 12 ,3/15/2022 7:58:40 AM , 869 ,3/15/2022 7:59:00 AM , 1038 ,3/15/2022 7:59:20 AM , 970 ,3/15/2022 7:59:40 AM , 978 ,3/15/2022 8:00:00 AM , 1229 ,3/15/2022 8:00:20 AM , 1362 ,3/15/2022 8:00:40 AM , 1366 ,3/15/2022 8:01:00 AM , 1321 ,3/15/2022 8:01:20 AM , 860 ,3/15/2022 8:01:40 AM , 1391 ,3/15/2022 8:02:00 AM , 1096 ,3/15/2022 8:02:20 AM , 1089 ,3/15/2022 8:02:40 AM , 1340 ,3/15/2022 8:03:00 AM , 969 ,3/15/2022 8:03:20 AM , 1679 ,3/15/2022 8:03:40 AM , 1482 ,
 13 ,3/15/2022 8:04:20 AM , 1043 ,3/15/2022 8:04:40 AM , 501 ,3/15/2022 8:05:00 AM , 578 ,3/15/2022 8:05:20 AM , 483 ,3/15/2022 8:05:40 AM , 847 ,3/15/2022 8:06:00 AM , 1060 ,3/15/2022 8:06:20 AM , 597 ,3/15/2022 8:06:40 AM , 787 ,3/15/2022 8:07:00 AM , 2052 ,3/15/2022 8:07:20 AM , 1416 ,3/15/2022 8:07:40 AM , 1023 ,3/15/2022 8:08:00 AM , 692 ,3/15/2022 8:08:20 AM , 1097 ,3/15/2022 8:08:40 AM , 1076 ,3/15/2022 8:09:00 AM , 946 ,3/15/2022 8:09:20 AM , 1791 ,
 14 ,3/15/2022 8:10:00 AM , 383 ,3/15/2022 8:10:20 AM , 476 ,3/15/2022 8:10:40 AM , 469 ,3/15/2022 8:11:00 AM , 1087 ,3/15/2022 8:11:20 AM , 624 ,3/15/2022 8:11:40 AM , 1000 ,3/15/2022 8:12:00 AM , 1633 ,3/15/2022 8:12:20 AM , 1066 ,3/15/2022 8:12:40 AM , 1618 ,3/15/2022 8:13:00 AM , 814 ,3/15/2022 8:13:20 AM , 695 ,3/15/2022 8:13:40 AM , 1376 ,3/15/2022 8:14:00 AM , 1041 ,3/15/2022 8:14:20 AM , 917 ,3/15/2022 8:14:40 AM , 1557 ,3/15/2022 8:15:00 AM , 1150 ,
 15 ,3/15/2022 8:15:40 AM , 610 ,3/15/2022 8:16:00 AM , 587 ,3/15/2022 8:16:20 AM , 713 ,3/15/2022 8:16:40 AM , 876 ,3/15/2022 8:17:00 AM , 408 ,3/15/2022 8:17:20 AM , 1339 ,3/15/2022 8:17:40 AM , 734 ,3/15/2022 8:18:00 AM , 1118 ,3/15/2022 8:18:20 AM , 947 ,3/15/2022 8:18:40 AM , 347 ,3/15/2022 8:19:00 AM , 380 ,3/15/2022 8:19:20 AM , 1188 ,3/15/2022 8:19:40 AM , 1174 ,3/15/2022 8:20:00 AM , 592 ,3/15/2022 8:20:20 AM , 713 ,3/15/2022 8:20:40 AM , 2057 ,
 16 ,3/15/2022 8:21:20 AM , 882 ,3/15/2022 8:21:40 AM , 606 ,3/15/2022 8:22:00 AM , 341 ,3/15/2022 8:22:20 AM , 702 ,3/15/2022 8:22:40 AM , 666 ,3/15/2022 8:23:00 AM , 541 ,3/15/2022 8:23:20 AM , 1114 ,3/15/2022 8:23:40 AM , 714 ,3/15/2022 8:24:00 AM , 1106 ,3/15/2022 8:24:20 AM , 1273 ,3/15/2022 8:24:40 AM , 821 ,3/15/2022 8:25:00 AM , 672 ,3/15/2022 8:25:20 AM , 873 ,3/15/2022 8:25:40 AM , 687 ,3/15/2022 8:26:00 AM , 992 ,3/15/2022 8:26:20 AM , 1351 ,
 17 ,3/15/2022 8:27:00 AM , 555 ,3/15/2022 8:27:20 AM , 396 ,3/15/2022 8:27:40 AM , 1175 ,3/15/2022 8:28:00 AM , 1213 ,3/15/2022 8:28:20 AM , 136 ,3/15/2022 8:28:40 AM , 250 ,3/15/2022 8:29:00 AM , 782 ,3/15/2022 8:29:20 AM , 706 ,3/15/2022 8:29:40 AM , 1551 ,3/15/2022 8:30:00 AM , 964 ,3/15/2022 8:30:20 AM , 808 ,3/15/2022 8:30:40 AM , 653 ,3/15/2022 8:31:00 AM , 724 ,3/15/2022 8:31:20 AM , 1510 ,3/15/2022 8:31:40 AM , 1073 ,3/15/2022 8:32:00 AM , 1315 ,
 18 ,3/15/2022 8:32:40 AM , 355 ,3/15/2022 8:33:00 AM , 521 ,3/15/2022 8:33:20 AM , 399 ,3/15/2022 8:33:40 AM , 1211 ,3/15/2022 8:34:00 AM , 278 ,3/15/2022 8:34:20 AM , 200 ,3/15/2022 8:34:40 AM , 599 ,3/15/2022 8:35:00 AM , 1052 ,3/15/2022 8:35:20 AM , 1299 ,3/15/2022 8:35:40 AM , 934 ,3/15/2022 8:36:00 AM , 348 ,3/15/2022 8:36:20 AM , 1063 ,3/15/2022 8:36:40 AM , 1099 ,3/15/2022 8:37:00 AM , 649 ,3/15/2022 8:37:20 AM , 898 ,3/15/2022 8:37:40 AM , 1473 ,
 19 ,3/15/2022 8:38:20 AM , 913 ,3/15/2022 8:38:40 AM , 527 ,3/15/2022 8:39:00 AM , 333 ,3/15/2022 8:39:20 AM , 565 ,3/15/2022 8:39:40 AM , 216 ,3/15/2022 8:40:00 AM , 8 ,3/15/2022 8:40:20 AM , 247 ,3/15/2022 8:40:40 AM , 1300 ,3/15/2022 8:41:00 AM , 1124 ,3/15/2022 8:41:20 AM , 1369 ,3/15/2022 8:41:40 AM , 205 ,3/15/2022 8:42:00 AM , 386 ,3/15/2022 8:42:20 AM , 1285 ,3/15/2022 8:42:40 AM , 674 ,3/15/2022 8:43:00 AM , 554 ,3/15/2022 8:43:20 AM , 115 ,
 20 ,3/15/2022 8:44:00 AM , 757 ,3/15/2022 8:44:20 AM , 617 ,3/15/2022 8:44:40 AM , 261 ,3/15/2022 8:45:00 AM , 1052 ,3/15/2022 8:45:20 AM , 22 ,3/15/2022 8:45:40 AM , 2 ,3/15/2022 8:46:00 AM , 548 ,3/15/2022 8:46:20 AM , 1246 ,3/15/2022 8:46:40 AM , 720 ,3/15/2022 8:47:00 AM , 954 ,3/15/2022 8:47:20 AM , 14 ,3/15/2022 8:47:40 AM , 1064 ,3/15/2022 8:48:00 AM , 1129 ,3/15/2022 8:48:20 AM , 744 ,3/15/2022 8:48:40 AM , 1223 ,3/15/2022 8:49:00 AM , 437 ,
