"","Interval_num","Adaptive.EE","Ambulatory.EE","ThermicEffect.EE","RMR.EE"
"1","172",7.39298612730927,15.6345363918049,0.477221402815557,6.18836892558202
"2","173",7.4403967821461,16.2527921378089,0,6.18836892558202
"3","174",7.7149445140971,12.7083561956855,0.85994934673423,6.18836892558202
"4","175",7.59103618688246,12.2802290249548,0,4.12873478816272
"5","176",6.57563646116757,11.8985197091562,0,4.62584382967621
"6","177",10.4265778664794,4.1361708796727,0,6.5372512538479
"7","178",10.530195903344,3.76942642943389,0,6.50037766722211
"8","179",9.73246922904554,4.40886308516623,0,6.25866768578822
"9","180",9.33769589571221,4.28536306312016,0,6.37694104116763
"10","181",9.6824985338296,0,0,7.4175014661704
"11","182",7.48859035434581,1.60546571487879,0,6.90594393077541
"12","183",8.48249853382961,0,0,7.4175014661704
"13","184",7.7824985338296,0,0,7.4175014661704
"14","185",6.38971906082619,1.40099043147105,0,7.00929050770276
"15","186",6.5525517738313,1.16482114848158,0,6.98262707768713
"16","187",5.59920823116343,1.31770127747361,0,7.08309049136296
"17","188",5.7525517738313,1.10142952135333,0,7.04601870481537
"18","189",3.6914582217291,2.48633477928828,0,7.72220699898262
"19","190",6.30357456969127,0.999848729841974,0,6.99657670046675
"20","191",6.61617652108184,0.604412802162674,0,6.97941067675548
"21","192",5.27210825823416,2.15004392317656,0,7.27784781858928
"22","193",5.70999416219935,4.86918910201203,0,6.72081673578862
"23","194",6.8944705859639,2.18895957808859,0,7.01656983594752
"24","195",6.78150547744593,0.716837546152449,0,7.10165697640162
"25","196",7.01617652108184,0.62143851489965,0,6.96238496401851
"26","197",6.98271550668155,0.864279718513308,0,6.95300477480514
"27","198",6.61617652108184,0.604412802162674,0,6.97941067675548
"28","199",6.51617652108184,0.60015637397843,0,6.98366710493973
"29","200",6.31617652108184,0.591643517609941,0,6.99217996130822
"30","201",5.51617652108184,0.557592092135988,0,7.02623138678217
"31","202",5.61617652108184,0.561848520320232,0,7.02197495859793
"32","203",6.21617652108184,0.587387089425697,0,6.99643638949246
"33","204",4.82813121814587,3.03756950107914,0,7.63429928077498
"34","205",5.26919264873022,4.34563130429894,0,6.68517604697085
"35","206",6.51593419319228,4.8754536651526,0,6.20861214165512
"36","207",6.25520244930879,2.22183952345491,0,7.12295802723631
"37","208",5.91549866032283,1.76774669675722,0,7.31675464291995
"38","209",5.01549866032283,1.66168189495179,0,7.42281944472538
"39","210",7.51617652108184,0.642720655820871,0,6.94110282309729
"40","211",6.51617652108184,0.60015637397843,0,6.98366710493973
"41","212",5.61617652108184,0.561848520320232,0,7.02197495859793
"42","213",4.98892702658075,1.52301330048352,0,7.18805967293573
"43","214",5.41949801967904,1.19421474742437,0,7.08628723289659
"44","215",6.18271550668155,0.817561895890967,0,6.99972259742748
"45","216",5.08562974503074,1.4520298767257,0,7.16234037824355
"46","217",5.78271550668155,0.794202984579797,0,7.02308150873865
"47","218",4.84164966887626,2.18393777734707,0,7.27441255377667
"48","219",4.23484556948005,5.02761022862702,0,8.43754420189293
"49","220",5.95705423350663,5.70086200963609,0,7.84208375685728
"50","221",7.8033281873896,5.86505942695517,0,7.53161238565523
"51","222",7.29294956253806,10.0791471179378,1.96794361624083,6.18836892558202
"52","223",7.8456869691782,10.5837457859891,0.508685213354802,4.26188203147789
"53","224",7.80666114834485,11.0288757305464,0,4.46446312110874
"54","225",8.14840284763295,7.89839075763838,0,6.25320639472868
"55","226",6.95466800576328,10.0543345761619,0,5.19099741807485
"56","227",10.3933324803701,3.78028953093461,0,6.52637798869524
"57","228",10.1350904599632,3.56859983469137,0,6.19630970534545
"58","229",7.64928467860745,4.97347394720775,0,6.7772413741848
"59","230",7.96236007035352,1.5778705983122,0,6.85976933133428
"60","231",8.1824985338296,0,0,7.4175014661704
"61","232",6.3687624810922,1.7577832326857,0,7.2734542862221
"62","233",7.5824985338296,0,0,7.4175014661704
"63","234",6.21949801967904,1.26394991515718,0,7.01655206516378
"64","235",6.21949801967904,1.26394991515718,0,7.01655206516378
"65","236",4.93361302231166,2.20956981440783,0,7.25681716328051
"66","237",6.96578294533958,0,0.636000759901842,7.19821629475858
"67","238",5.67751898530834,0.980269285446478,0,7.04221172924518
"68","239",5.40133956699573,1.91701633008535,0,7.28164410291891
"69","240",3.73033391797628,3.58371591667004,0,8.08595016535368
"70","241",6.71617652108184,0.608669230346918,0,6.97515424857124
"71","242",5.7824985338296,0,0,7.4175014661704
"72","243",4.4824985338296,0,0,7.4175014661704
"73","244",5.0525517738313,1.04596184761611,0,7.10148637855259
"74","245",6.9824985338296,0,0,7.4175014661704
"75","246",6.81617652108184,0.612925658531162,0,6.970897820387
"76","247",5.0682257890591,1.88054297359156,0,7.25123123734934
"77","248",5.49920823116343,1.30828912549166,0,7.09250264334491
"78","249",3.89434058464295,3.61157768947395,0,7.9940817258831
"79","250",6.91570245750377,3.02191671439949,0,6.76238082809674
"80","251",7.13926814908848,1.423339244771,0,6.93739260614052
"81","252",5.5562786627513,2.56898045741879,0,7.07474087982991
"82","253",5.99678568427471,3.60140445709255,0.777732353393371,6.72407750523937
"83","254",7.00357456969127,1.04879237396011,0,6.94763305634862
"84","255",3.63545757188747,3.80484867949617,0,7.05969374861636
"85","256",4.74710740732885,1.85493384557297,0,7.29795874709817
"86","257",4.50133956699573,1.79884409055954,0,7.39981634244472
"87","258",3.45140577460802,2.61210917599987,0,7.83648504939211
"88","259",6.4824985338296,0,0,7.4175014661704
"89","260",5.09920823116343,1.27064051756384,0,7.13015125127273
