CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,filename
1,8wks-1,B6,Male,29.9,1.15,26.89,Pre,2022-03-22 B6 Temp Decline 30c.0101.CSV
2,16wks-1,B6,Male,29.4,1.27,26.05,Pre,2022-03-22 B6 Temp Decline 30c.0102.CSV
3,16wks-2,B6,Male,27.7,1.15,25.02,Pre,2022-03-22 B6 Temp Decline 30c.0103.CSV
4,8wks-2,B6,Male,27.1,0.87,24.51,Pre,2022-03-22 B6 Temp Decline 30c.0104.CSV
5,16wks-3,B6,Male,31.8,1.65,28.03,Pre,2022-03-22 B6 Temp Decline 30c.0105.CSV
6,8wks-3,B6,Male,26.4,2.17,22.93,Pre,2022-03-22 B6 Temp Decline 30c.0106.CSV
7,16wks-4,B6,Male,30.8,3.16,26.26,Pre,2022-03-22 B6 Temp Decline 30c.0107.CSV
8,8wks-4,B6,Male,27.3,2.06,23.7,Pre,2022-03-22 B6 Temp Decline 30c.0108.CSV
9,8wks-1,B6,Female,19.3,1.55,16.15,Pre,2022-03-22 B6 Temp Decline 30c.0109.CSV
10,16wks-1,B6,Female,21.6,2.6,17.4,Pre,2022-03-22 B6 Temp Decline 30c.0110.CSV
11,8wks-2,B6,Female,20.4,1.96,16.82,Pre,2022-03-22 B6 Temp Decline 30c.0111.CSV
12,16wks-2,B6,Female,22.7,2.05,18.85,Pre,2022-03-22 B6 Temp Decline 30c.0112.CSV
13,16wks-3,B6,Female,22.3,2.73,17.82,Pre,2022-03-22 B6 Temp Decline 30c.0113.CSV
14,8wks-3,B6,Female,18.7,2.5,14.86,Pre,2022-03-22 B6 Temp Decline 30c.0114.CSV
15,8wks-4,B6,Female,17.5,1.31,14.73,Pre,2022-03-22 B6 Temp Decline 30c.0115.CSV
16,16wks-4,B6,Female,23,2.47,18.75,Pre,2022-03-22 B6 Temp Decline 30c.0116.CSV
1,8wks-1,B6,Male,29.8,1.01,26.98,Post,2022-03-22 B6 Temp Decline 30c.0101.CSV
2,16wks-1,B6,Male,29.1,1.11,26.01,Post,2022-03-22 B6 Temp Decline 30c.0102.CSV
3,16wks-2,B6,Male,28.3,1.15,25.42,Post,2022-03-22 B6 Temp Decline 30c.0103.CSV
4,8wks-2,B6,Male,27.7,1.11,24.76,Post,2022-03-22 B6 Temp Decline 30c.0104.CSV
5,16wks-3,B6,Male,31.2,1.83,27.85,Post,2022-03-22 B6 Temp Decline 30c.0105.CSV
6,8wks-3,B6,Male,26.1,2.03,22.95,Post,2022-03-22 B6 Temp Decline 30c.0106.CSV
7,16wks-4,B6,Male,29.9,2.82,25.71,Post,2022-03-22 B6 Temp Decline 30c.0107.CSV
8,8wks-4,B6,Male,26.9,2,23.56,Post,2022-03-22 B6 Temp Decline 30c.0108.CSV
9,8wks-1,B6,Female,19.3,1.5,16.53,Post,2022-03-22 B6 Temp Decline 30c.0109.CSV
10,16wks-1,B6,Female,21.5,2.3,17.75,Post,2022-03-22 B6 Temp Decline 30c.0110.CSV
11,8wks-2,B6,Female,19.1,1.58,16.1,Post,2022-03-22 B6 Temp Decline 30c.0111.CSV
12,16wks-2,B6,Female,22.3,1.7,18.96,Post,2022-03-22 B6 Temp Decline 30c.0112.CSV
13,16wks-3,B6,Female,21.9,2.32,18.08,Post,2022-03-22 B6 Temp Decline 30c.0113.CSV
14,8wks-3,B6,Female,18.4,2.4,14.78,Post,2022-03-22 B6 Temp Decline 30c.0114.CSV
15,8wks-4,B6,Female,17.7,1.25,15.07,Post,2022-03-22 B6 Temp Decline 30c.0115.CSV
16,16wks-4,B6,Female,22.1,1.97,18.49,Post,2022-03-22 B6 Temp Decline 30c.0116.CSV
