CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,filename
1,8wks-1,B6,Male,29.5,1.28,26.7,Pre,2022-03-26 B6 Temp Decline 10C.0101.CSV
2,16wks-1,B6,Male,28.5,1.16,26.16,Pre,2022-03-26 B6 Temp Decline 10C.0102.CSV
3,16wks-2,B6,Male,28,1.48,24.97,Pre,2022-03-26 B6 Temp Decline 10C.0103.CSV
4,8wks-2,B6,Male,27.1,1.62,24.29,Pre,2022-03-26 B6 Temp Decline 10C.0104.CSV
5,16wks-3,B6,Male,31.4,1.63,28.06,Pre,2022-03-26 B6 Temp Decline 10C.0105.CSV
6,8wks-3,B6,Male,25.6,1.44,23.03,Pre,2022-03-26 B6 Temp Decline 10C.0106.CSV
7,16wks-4,B6,Male,28.8,2.16,25.53,Pre,2022-03-26 B6 Temp Decline 10C.0107.CSV
8,8wks-4,B6,Male,26.2,1.88,23.31,Pre,2022-03-26 B6 Temp Decline 10C.0108.CSV
9,8wks-1,B6,Female,18.7,1.16,16.48,Pre,2022-03-26 B6 Temp Decline 10C.0109.CSV
10,16wks-1,B6,Female,21.2,1.86,18.23,Pre,2022-03-26 B6 Temp Decline 10C.0110.CSV
11,8wks-2,B6,Female,20.4,1.41,17.93,Pre,2022-03-26 B6 Temp Decline 10C.0111.CSV
12,16wks-2,B6,Female,22.8,1.84,19.61,Pre,2022-03-26 B6 Temp Decline 10C.0112.CSV
13,16wks-3,B6,Female,22.2,1.94,19.15,Pre,2022-03-26 B6 Temp Decline 10C.0113.CSV
14,8wks-3,B6,Female,19.1,2.52,15.72,Pre,2022-03-26 B6 Temp Decline 10C.0114.CSV
15,8wks-4,B6,Female,18.5,1.28,16.15,Pre,2022-03-26 B6 Temp Decline 10C.0115.CSV
16,16wks-4,B6,Female,23.1,2.05,19.81,Pre,2022-03-26 B6 Temp Decline 10C.0116.CSV
1,8wks-1,B6,Male,29,1.16,26.46,Post,2022-03-26 B6 Temp Decline 10C.0101.CSV
2,16wks-1,B6,Male,27.9,0.95,25.68,Post,2022-03-26 B6 Temp Decline 10C.0102.CSV
3,16wks-2,B6,Male,26.9,1.18,24.57,Post,2022-03-26 B6 Temp Decline 10C.0103.CSV
4,8wks-2,B6,Male,27.2,1.78,24.15,Post,2022-03-26 B6 Temp Decline 10C.0104.CSV
5,16wks-3,B6,Male,30.7,1.67,27.52,Post,2022-03-26 B6 Temp Decline 10C.0105.CSV
6,8wks-3,B6,Male,25.1,1.4,22.7,Post,2022-03-26 B6 Temp Decline 10C.0106.CSV
7,16wks-4,B6,Male,28.6,2.05,25.33,Post,2022-03-26 B6 Temp Decline 10C.0107.CSV
8,8wks-4,B6,Male,25.9,1.66,22.94,Post,2022-03-26 B6 Temp Decline 10C.0108.CSV
9,8wks-1,B6,Female,18.9,1.38,16.15,Post,2022-03-26 B6 Temp Decline 10C.0109.CSV
10,16wks-1,B6,Female,21.4,1.87,17.82,Post,2022-03-26 B6 Temp Decline 10C.0110.CSV
11,8wks-2,B6,Female,20.3,1.28,17.46,Post,2022-03-26 B6 Temp Decline 10C.0111.CSV
12,16wks-2,B6,Female,23.2,1.72,19.69,Post,2022-03-26 B6 Temp Decline 10C.0112.CSV
13,16wks-3,B6,Female,22.8,2.12,19.26,Post,2022-03-26 B6 Temp Decline 10C.0113.CSV
14,8wks-3,B6,Female,19.2,2.43,15.65,Post,2022-03-26 B6 Temp Decline 10C.0114.CSV
15,8wks-4,B6,Female,18.7,1.5,15.74,Post,2022-03-26 B6 Temp Decline 10C.0115.CSV
16,16wks-4,B6,Female,23,2.04,19.41,Post,2022-03-26 B6 Temp Decline 10C.0116.CSV
