CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,filename
1,8wks-1,B6,Male,29.8,1.01,26.98,Pre,2022-03-23 B6 Temp Decline 25c.0101.CSV
2,16wks-1,B6,Male,29.1,1.11,26.01,Pre,2022-03-23 B6 Temp Decline 25c.0102.CSV
3,16wks-2,B6,Male,28.3,1.15,25.42,Pre,2022-03-23 B6 Temp Decline 25c.0103.CSV
4,8wks-2,B6,Male,27.7,1.11,24.76,Pre,2022-03-23 B6 Temp Decline 25c.0104.CSV
5,16wks-3,B6,Male,31.2,1.83,27.85,Pre,2022-03-23 B6 Temp Decline 25c.0105.CSV
6,8wks-3,B6,Male,26.1,2.03,22.95,Pre,2022-03-23 B6 Temp Decline 25c.0106.CSV
7,16wks-4,B6,Male,29.9,2.82,25.71,Pre,2022-03-23 B6 Temp Decline 25c.0107.CSV
8,8wks-4,B6,Male,26.9,2,23.56,Pre,2022-03-23 B6 Temp Decline 25c.0108.CSV
9,8wks-1,B6,Female,19.3,1.5,16.53,Pre,2022-03-23 B6 Temp Decline 25c.0109.CSV
10,16wks-1,B6,Female,21.5,2.3,17.75,Pre,2022-03-23 B6 Temp Decline 25c.0110.CSV
11,8wks-2,B6,Female,19.1,1.58,16.1,Pre,2022-03-23 B6 Temp Decline 25c.0111.CSV
12,16wks-2,B6,Female,22.3,1.7,18.96,Pre,2022-03-23 B6 Temp Decline 25c.0112.CSV
13,16wks-3,B6,Female,21.9,2.32,18.08,Pre,2022-03-23 B6 Temp Decline 25c.0113.CSV
14,8wks-3,B6,Female,18.4,2.4,14.78,Pre,2022-03-23 B6 Temp Decline 25c.0114.CSV
15,8wks-4,B6,Female,17.7,1.25,15.07,Pre,2022-03-23 B6 Temp Decline 25c.0115.CSV
16,16wks-4,B6,Female,22.1,1.97,18.49,Pre,2022-03-23 B6 Temp Decline 25c.0116.CSV
1,8wks-1,B6,Male,29.3,1.01,26.3,Post,2022-03-23 B6 Temp Decline 25c.0101.CSV
2,16wks-1,B6,Male,28.9,1.27,25.94,Post,2022-03-23 B6 Temp Decline 25c.0102.CSV
3,16wks-2,B6,Male,28.2,1.19,25.26,Post,2022-03-23 B6 Temp Decline 25c.0103.CSV
4,8wks-2,B6,Male,27.4,1.36,24.77,Post,2022-03-23 B6 Temp Decline 25c.0104.CSV
5,16wks-3,B6,Male,32.2,1.65,28.39,Post,2022-03-23 B6 Temp Decline 25c.0105.CSV
6,8wks-3,B6,Male,26.7,2.01,23.17,Post,2022-03-23 B6 Temp Decline 25c.0106.CSV
7,16wks-4,B6,Male,29.3,2.61,25.51,Post,2022-03-23 B6 Temp Decline 25c.0107.CSV
8,8wks-4,B6,Male,26.6,1.91,23.04,Post,2022-03-23 B6 Temp Decline 25c.0108.CSV
9,8wks-1,B6,Female,18.9,1.27,16.01,Post,2022-03-23 B6 Temp Decline 25c.0109.CSV
10,16wks-1,B6,Female,21.2,2.16,17.74,Post,2022-03-23 B6 Temp Decline 25c.0110.CSV
11,8wks-2,B6,Female,19.5,1.48,16.47,Post,2022-03-23 B6 Temp Decline 25c.0111.CSV
12,16wks-2,B6,Female,22,1.52,18.99,Post,2022-03-23 B6 Temp Decline 25c.0112.CSV
13,16wks-3,B6,Female,22.21,2.23,18.45,Post,2022-03-23 B6 Temp Decline 25c.0113.CSV
14,8wks-3,B6,Female,18.6,2.29,14.96,Post,2022-03-23 B6 Temp Decline 25c.0114.CSV
15,8wks-4,B6,Female,18.3,1.33,15.74,Post,2022-03-23 B6 Temp Decline 25c.0115.CSV
16,16wks-4,B6,Female,22.6,2,18.69,Post,2022-03-23 B6 Temp Decline 25c.0116.CSV
