Oxymax CSV File 

CSV Generation Date,10/10/2022 8:56:36 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0114
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT MC9034
Subject Mass (G), 22.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0114,7/25/2022 5:19:04 PM ,5528,20.921,20.705,0.216,0.0,4461,0.061,0.243,0.182,0.0,0.807,26.6,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,464,194,787,514,33,0.0,0.0,0.0,36.9,23.6,22.4,22.2,0,0,100,
2,0114,7/25/2022 5:24:44 PM ,5753,20.921,20.697,0.224,0.0,4602,0.066,0.253,0.187,0.0,0.800,27.6,0.904,75.00,STABLE / OPEN,0.03,0.03,0.055,0.055,404,151,755,396,38,0.0,0.0,0.0,37.5,23.7,22.4,22.2,0,0,100,
3,0114,7/25/2022 5:30:24 PM ,5656,20.921,20.701,0.220,0.0,4446,0.064,0.246,0.181,0.0,0.786,27.1,0.904,75.00,STABLE / OPEN,0.00,0.03,0.000,0.055,350,135,619,307,89,0.0,0.0,0.0,38.2,23.7,22.3,22.2,0,0,100,
4,0114,7/25/2022 5:36:04 PM ,5508,20.921,20.708,0.214,0.0,4248,0.061,0.234,0.173,0.0,0.771,26.2,0.904,75.00,STABLE / OPEN,0.05,0.09,0.000,0.055,283,98,481,249,5,0.0,0.0,0.0,37.7,23.7,22.3,22.2,0,0,100,
5,0114,7/25/2022 5:41:44 PM ,5446,20.921,20.710,0.211,0.0,4192,0.059,0.230,0.171,0.0,0.770,25.9,0.905,75.00,STABLE / OPEN,0.04,0.12,0.000,0.055,292,159,634,341,23,0.0,0.0,0.0,37.9,23.8,22.4,22.2,0,0,100,
6,0114,7/25/2022 5:47:24 PM ,5354,20.921,20.715,0.207,0.1,4034,0.058,0.222,0.164,0.0,0.753,25.4,0.905,75.00,STABLE / OPEN,0.00,0.12,0.056,0.111,394,196,672,381,37,0.0,0.0,0.0,37.7,23.8,22.5,22.2,0,0,100,
7,0114,7/25/2022 5:53:04 PM ,5284,20.921,20.718,0.203,0.1,3910,0.057,0.216,0.159,0.1,0.740,25.0,0.905,75.00,STABLE / OPEN,0.00,0.12,0.000,0.111,402,98,499,278,63,0.0,0.0,0.0,38.0,23.8,22.7,22.2,0,0,100,
