Oxymax CSV File 

CSV Generation Date,3/28/2022 10:07:39 AM 
Experiment Started,3/27/2022 7:55:00 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-27 B6 Temp Decline 5C.CDTA

Group/Cage,0103
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,16-2 M
Subject Mass (G), 26.9 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,3/27/2022 7:56:24 AM ,20258,20.909,19.947,0.962,0.0,17861,0.056,0.925,0.869,0.0,0.882,99.3,0.921,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,20,8,410,15,0,0.0,0.0,0.0,61.3,10.7,13.1,5.0,0,0,100,
2,0103,3/27/2022 8:02:04 AM ,14372,20.909,20.226,0.683,0.0,12585,0.062,0.676,0.614,0.0,0.876,70.3,0.919,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,21,13,105,40,57,0.0,0.0,0.0,61.6,10.7,10.5,5.0,0,0,100,
3,0103,3/27/2022 8:07:44 AM ,10807,20.909,20.394,0.515,0.1,9573,0.061,0.528,0.467,0.1,0.886,53.0,0.919,75.00,STABLE / OPEN,0.26,0.26,0.000,0.000,130,37,268,120,8,0.0,0.0,0.0,61.3,10.5,9.5,5.0,0,0,100,
4,0103,3/27/2022 8:13:24 AM ,8236,20.909,20.516,0.393,0.1,7258,0.060,0.415,0.355,0.1,0.881,40.4,0.917,75.00,STABLE / OPEN,0.00,0.26,0.000,0.000,182,13,100,37,0,0.0,0.0,0.0,61.3,10.1,8.8,5.0,0,0,100,
5,0103,3/27/2022 8:19:04 AM ,6561,20.909,20.596,0.313,0.1,5829,0.059,0.344,0.285,0.1,0.888,32.2,0.918,75.00,STABLE / OPEN,0.00,0.26,0.086,0.086,316,11,44,14,0,0.0,0.0,0.0,61.3,9.8,8.3,5.0,0,0,100,
6,0103,3/27/2022 8:24:44 AM ,6041,20.909,20.620,0.289,0.1,5454,0.058,0.324,0.266,0.1,0.903,29.8,0.918,75.00,STABLE / OPEN,0.00,0.26,0.000,0.086,221,14,124,36,0,0.0,0.0,0.0,61.1,9.3,7.7,5.0,0,0,100,
7,0103,3/27/2022 8:30:24 AM ,5596,20.909,20.643,0.265,0.1,4860,0.059,0.296,0.237,0.1,0.868,27.3,0.919,75.00,STABLE / OPEN,0.00,0.26,0.049,0.136,41,4,279,20,0,0.0,0.0,0.0,61.5,8.9,7.3,5.0,0,0,100,
