Oxymax CSV File 

CSV Generation Date,10/10/2022 8:56:07 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0110
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT ETOH2
Subject Mass (G), 24.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0110,7/25/2022 5:17:44 PM ,11970,20.921,20.401,0.520,0.0,10227,0.061,0.520,0.458,0.0,0.854,58.3,0.897,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,244,93,274,150,13,0.0,0.0,0.0,41.0,23.1,22.4,22.2,0,0,100,
2,0110,7/25/2022 5:23:24 PM ,8561,20.921,20.550,0.371,0.0,7168,0.066,0.387,0.322,0.0,0.837,41.5,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,201,73,420,183,0,0.0,0.0,0.0,41.2,23.1,22.5,22.2,0,0,100,
3,0110,7/25/2022 5:29:04 PM ,6207,20.921,20.654,0.268,0.0,5049,0.064,0.291,0.227,0.0,0.813,29.9,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,22,0,120,3,0,0.0,0.0,0.0,40.8,23.1,22.5,22.2,0,0,100,
4,0110,7/25/2022 5:34:44 PM ,4779,20.921,20.716,0.206,0.1,3852,0.061,0.234,0.173,0.0,0.806,23.0,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,18,2,37,12,0,0.0,0.0,0.0,40.7,23.0,22.7,22.2,0,0,100,
5,0110,7/25/2022 5:40:24 PM ,3897,20.921,20.756,0.165,0.1,2840,0.059,0.186,0.127,0.1,0.729,18.4,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,40.7,23.0,22.8,22.2,0,0,100,
6,0110,7/25/2022 5:46:04 PM ,3391,20.921,20.777,0.145,0.1,2611,0.058,0.175,0.117,0.1,0.770,16.2,0.896,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,3,0,16,0,0,0.0,0.0,0.0,40.5,23.0,22.8,22.2,0,0,100,
7,0110,7/25/2022 5:51:44 PM ,3240,20.921,20.783,0.138,0.1,2453,0.057,0.167,0.110,0.1,0.757,15.4,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,37,0,72,6,0,0.0,0.0,0.0,40.6,22.9,22.8,22.2,0,0,100,
