Oxymax CSV File 

CSV Generation Date,3/28/2022 10:06:12 AM 
Experiment Started,3/26/2022 7:20:17 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-26 B6 Temp Decline 10C.CDTA

Group/Cage,0106
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,
Subject Mass (G), 25.6 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,3/26/2022 7:22:39 AM ,5904,20.902,20.630,0.272,0.0,5272,0.063,0.311,0.249,0.0,0.893,29.0,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,30,0,1,1,0,0.0,0.0,0.0,53.8,13.7,13.6,10.0,0,0,100,
2,0106,3/26/2022 7:28:19 AM ,5600,20.902,20.646,0.256,0.0,4804,0.063,0.290,0.227,0.0,0.858,27.3,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,39,0,21,5,0,0.0,0.0,0.0,54.5,13.0,12.8,10.0,0,0,100,
3,0106,3/26/2022 7:33:59 AM ,5040,20.902,20.673,0.229,0.0,4154,0.063,0.259,0.196,0.0,0.824,24.3,0.906,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,0.0,0.0,0.0,54.8,12.2,12.0,10.0,0,0,100,
4,0106,3/26/2022 7:39:39 AM ,4868,20.902,20.682,0.220,0.0,3915,0.062,0.247,0.185,0.0,0.804,23.4,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2,0,0,0,0,0.0,0.0,0.0,55.5,11.4,11.6,10.0,0,0,100,
5,0106,3/26/2022 7:45:19 AM ,4790,20.902,20.686,0.216,0.1,3767,0.061,0.239,0.178,0.0,0.786,22.9,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,55.8,10.7,10.8,10.0,0,0,100,
6,0106,3/26/2022 7:50:59 AM ,5044,20.902,20.674,0.228,0.1,4024,0.060,0.250,0.190,0.1,0.798,24.2,0.906,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1,0,91,13,0,0.0,0.0,0.0,56.4,10.1,10.2,10.0,0,0,100,
7,0106,3/26/2022 7:56:39 AM ,4821,20.902,20.686,0.216,0.1,3742,0.060,0.236,0.176,0.1,0.776,23.0,0.906,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,3,0,1,0,0,0.0,0.0,0.0,55.8,9.8,10.5,10.0,0,0,100,
