Oxymax CSV File 

CSV Generation Date,3/28/2022 10:06:11 AM 
Experiment Started,3/26/2022 7:20:17 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-26 B6 Temp Decline 10C.CDTA

Group/Cage,0104
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,3
Subject Mass (G), 27.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,3/26/2022 7:21:59 AM ,5300,20.902,20.647,0.255,0.0,4457,0.063,0.284,0.221,0.0,0.841,25.7,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,708,0,4,1,0,0.0,0.0,0.0,56.4,15.8,13.8,10.0,0,0,100,
2,0104,3/26/2022 7:27:39 AM ,4748,20.902,20.676,0.226,0.0,3803,0.063,0.252,0.189,0.0,0.801,22.8,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2046,0,439,0,0,0.0,0.0,0.0,56.4,15.4,12.9,10.0,0,0,100,
3,0104,3/26/2022 7:33:19 AM ,4687,20.902,20.680,0.222,0.0,3672,0.063,0.245,0.182,0.0,0.784,22.4,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7462,0,282,6,0,0.0,0.0,0.0,56.7,14.8,12.1,10.0,0,0,100,
4,0104,3/26/2022 7:38:59 AM ,4820,20.902,20.673,0.229,0.0,3806,0.062,0.251,0.189,0.0,0.789,23.1,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7723,12,30,11,0,0.0,0.0,0.0,57.1,14.3,11.7,10.0,0,0,100,
5,0104,3/26/2022 7:44:39 AM ,4921,20.902,20.669,0.233,0.0,3812,0.061,0.251,0.190,0.0,0.775,23.5,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,20163,0,600,26,0,0.0,0.0,0.0,57.1,13.6,10.9,10.0,0,0,100,
6,0104,3/26/2022 7:50:19 AM ,5004,20.902,20.666,0.236,0.1,3799,0.060,0.248,0.188,0.0,0.759,23.8,0.910,75.00,NO RESPONSE / OPEN,0.00,0.00,0.000,0.000,15734,0,401,19,0,0.0,0.0,0.0,57.2,13.1,10.2,10.0,0,0,100,
7,0104,3/26/2022 7:55:59 AM ,5630,20.902,20.636,0.266,0.1,4306,0.060,0.274,0.214,0.1,0.765,26.8,0.910,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,6160,75,425,117,0,0.0,0.0,0.0,57.8,12.6,10.5,10.0,0,0,100,
